transfer date,player name,position,from,to,price
feb 2,marcelo diaz,midfielder,basel,hamburg,undisclosed
feb 2,andre schurrle,attacker,chelsea,wolfsburg,32000000
jan 30,ivica olic,attacker,wolfsburg,hamburg,1500000
jan 30,joao pereira,defender,valencia,hannover,undisclosed
jan 28,jannik vestergaard,defender,hoffenheim,werder bremen,2500000
jan 28,didier ya konan,attacker,al ittihad,hannover,undisclosed
jan 28,nicolas castillo,attacker,club brugge,mainz,loan
jan 24,christian sivodevov,midfielder,djurgardens,schalke,undisclosed
jan 22,koen casteels,goalkeeper,hoffenheim,wolfsburg,1500000
jan 22,tin jedvaj,defender,roma,bayer leverkusen,7000000
jan 22,koen casteels,goalkeeper,wolfsburg,werder bremen,loan
jan 12,matija nastasic,defender,manchester city,schalke,loan
jan 9,christian clemens,midfielder,schalke,mainz,loan
jan 9,pierre-emile hojbjerg,midfielder,bayern munich,augsburg,loan
dec 30,mats daehli,midfielder,cardiff,freiburg,2500000
dec 30,kevin kampl,midfielder,salzburg,bor. dortmund,12000000
sep 25,timo hildebrand,goalkeeper,schalke,eint. frankfurt,0
sep 1,salomon kalou,attacker,lille,hertha,3000000
sep 1,julian green,attacker,bayern munich,hamburg,loan
sep 1,jonas hofmann,midfielder,bor. dortmund,mainz,loan
sep 1,lewis holtby,midfielder,tottenham,hamburg,loan
aug 31,sinan kurt,attacker,bor. mgladbach,bayern munich,2500000
aug 31,shinji kagawa,midfielder,manchester utd,bor. dortmund,8000000
aug 29,xabi alonso,midfielder,real madrid,bayern munich,10000000
aug 28,marc torrejon,defender,kaiserslautern,freiburg,undisclosed
aug 28,dani schahin,attacker,mainz,freiburg,undisclosed
aug 28,cleber,defender,corinthians,hamburg,3000000
aug 26,mehdi benatia,defender,roma,bayern munich,30000000
aug 23,jimmy briand,attacker,lyon,hannover,0
aug 15,steven zuber,midfielder,cska moscow,hoffenheim,undisclosed
aug 15,nicklas bendtner,attacker,arsenal,wolfsburg,0
aug 13,marius stankevicius,defender,gaziantep,hannover,0
aug 13,christian wetklo,goalkeeper,darmstadt,schalke,0
aug 11,markus feulner,midfielder,nurnberg,augsburg,undisclosed
aug 11,jin-su kim,defender,albirex niigata,hoffenheim,undisclosed
aug 11,ermin bicakcic,defender,eint. braunschweig,hoffenheim,undisclosed
aug 11,shawn parker,attacker,mainz,augsburg,1500000
aug 11,caiuby,attacker,ingolstadt,augsburg,1000000
aug 11,yann sommer,goalkeeper,basel,bor. mgladbach,10000000
aug 11,filip djuricic,midfielder,benfica,mainz,loan
aug 11,oliver baumann,goalkeeper,freiburg,hoffenheim,undisclosed
aug 11,genki haraguchi,attacker,urawa,hertha,undisclosed
aug 11,fabian johnson,defender,hoffenheim,bor. mgladbach,0
aug 11,marvin plattenhard,defender,nurnberg,hertha,undisclosed
aug 11,jens hegeler,midfielder,bayer leverkusen,hertha,undisclosed
aug 11,julian schieber,attacker,bor. dortmund,hertha,2500000
aug 11,kenan karaman,attacker,hoffenheim,hannover,0
aug 11,janik haberer,attacker,unterhaching,hoffenheim,undisclosed
aug 11,vladimir rankovic,defender,bayern munich,hannover,0
aug 11,pirmin schwegler,defender,eint. frankfurt,hoffenheim,2000000
aug 11,wendell,defender,gremio,bayer leverkusen,undisclosed
