transfer date,player name,position,from,to,price
feb 17,norbert gyomber,defender,roma,terek grozny,loan
feb 13,yakubu aiyegbeni,attacker,kayserispor,coventry city,0
feb 8,rivaldinho,attacker,internacional,dinamo bucharest,0
feb 8,georgios samaras,attacker,rayo okc,real zaragoza,0
feb 3,sebastian coates,defender,sunderland,sporting cp,5000000
jan 31,vukasin jovanovic,defender,zenit,bordeaux,loan
jan 31,junior alonso,defender,cerro porteno,lille,3950000
jan 31,mounir obbadi,midfielder,lille,nice,0
jan 31,gedion zelalem,midfielder,arsenal,vvv venlo,loan
jan 31,demba ba,attacker,shanghai shenhua,besiktas,loan
jan 31,emmanuel adebayor,attacker,crystal palace,istanbul basaksehir,0
jan 31,anwar el ghazi,attacker,ajax,lille,7300000
jan 31,juan carlos paredes,defender,watford,olympiacos,loan
jan 31,ricardo kishna,attacker,lazio,lille,loan
jan 31,branislav ivanovic,defender,chelsea,zenit,0
jan 31,tim krul,goalkeeper,newcastle,az alkmaar,loan
jan 31,federico cartabia,attacker,dep. la coruna,braga,loan
jan 31,steven caulker,defender,qpr,lokomotiv moscow,loan
jan 30,jefferson farfan,attacker,al-jazira,lokomotiv moscow,0
jan 30,richmond boakye,attacker,latina calcio,red star,loan
jan 30,pedro pereira,defender,sampdoria,benfica,5500000
jan 30,dimitri payet,attacker,west ham,marseille,29000000
jan 29,andy delort,attacker,tigres,toulouse,6000000
jan 27,jorge,defender,flamengo,monaco,8500000
jan 26,patrice evra,defender,juventus,marseille,0
jan 26,samuel eto'o,attacker,antalyaspor,amkar perm,0
jan 25,goncalo guedes,attacker,benfica,psg,30000000
jan 24,tiquinho soares,attacker,vit. guimaraes,fc porto,undisclosed
jan 23,corentin jean,attacker,monaco,toulouse,loan
jan 21,memphis depay,attacker,manchester utd,lyon,16000000
jan 18,luiz adriano,attacker,ac milan,spartak moscow,0
jan 18,jonathan ikone,attacker,psg,montpellier,loan
jan 17,morgan sanson,midfielder,montpellier,marseille,12000000
jan 16,aly cissokho,defender,aston villa,olympiacos,loan
jan 16,alexander buttner,defender,dinamo moscow,vitesse,0
jan 13,aleksandr zhirkov,defender,krasnodar,anzhi,loan
jan 12,ahmet celik,defender,genclerbirligi,galatasaray,2500000
jan 12,kouassi eboue,midfielder,krasnodar,celtic,3500000
jan 12,jon toral,midfielder,arsenal,rangers,loan
jan 11,manu garcia,midfielder,manchester city,nac breda,loan
jan 11,carl medjani,defender,leganes,trabzonspor,0
jan 10,martin odegaard,midfielder,real madrid,heerenveen,loan
jan 10,yohan mollo,midfielder,krylya sovetov,zenit,3000000
jan 10,garry rodrigues,attacker,paok,galatasaray,3500000
jan 10,fallou diagne,defender,werder bremen,metz,loan
jan 10,sandro,midfielder,qpr,antalyaspor,0
jan 6,matej mitrovic,defender,hnk rijeka,besiktas,4200000
jan 3,ryan babel,attacker,dep. la coruna,besiktas,0
jan 3,julian draxler,midfielder,wolfsburg,psg,35000000
jan 2,marco van ginkel,midfielder,chelsea,psv,loan
sep 27,stephane sessegnon,midfielder,west brom,montpellier,0
sep 16,jean-philippe mateta,attacker,chateauroux,lyon,4000000
sep 1,rafa silva,midfielder,braga,benfica,16399999
aug 31,rod fanni,defender,al arabi,marseille,0
aug 31,oscar cardozo,attacker,trabzonspor,olympiacos,undisclosed
aug 31,igor lewczuk,defender,legia warszava,bordeaux,1000000
aug 31,moussa sow,attacker,al ahli,fenerbahce,loan
aug 31,kolbeinn sigthorsson,attacker,nantes,galatasaray,loan
aug 31,philippe senderos,defender,grasshopers,rangers,0
aug 31,caner erkin,defender,inter milan,besiktas,loan
aug 31,gokhan inler,midfielder,leicester,besiktas,0
aug 31,younes belhanda,midfielder,dynamo kiev,nice,loan
aug 31,lazar markovic,midfielder,liverpool,sporting cp,loan
aug 31,clinton njie ,attacker,tottenham,marseille,loan
aug 31,nigel de jong,midfielder,la galaxy,galatasaray,0
aug 31,william vainqueur,midfielder,roma,marseille,loan
aug 31,mario balotelli,attacker,liverpool,nice,0
aug 31,mehdi abeid,midfielder,panathinaikos,dijon,undisclosed
aug 29,bas dost,attacker,wolfsburg,sporting cp,undisclosed
aug 29,luc castaignos,attacker,eint. frankfurt,sporting cp,undisclosed
aug 26,tim krul,goalkeeper,newcastle,ajax,loan
aug 25,oliver torres,midfielder,atletico madrid,porto,loan
aug 25,milan bisevac,defender,lazio,metz,0
aug 23,dante,defender,wolfsburg,nice,2000000
aug 22,joel campbell,attacker,arsenal,sporting cp,loan
aug 15,dorus de vries,goalkeeper,nottingham forest,celtic,undisclosed
aug 8,jese rodriguez,attacker,real madrid,psg,25000000
aug 8,laurent depoitre,attacker,gent,porto,6000000
aug 2,alex song,midfielder,barcelona,rubin kazan,0
aug 2,wylan cyprien,midfielder,lens,nice,2500000
aug 1,francois kamano,attacker,bastia,bordeaux,2500000
aug 1,zinedine machach,midfielder,toulouse,marseille,undisclosed
aug 1,jeremy menez,midfielder,ac milan,bordeaux,undisclosed
jul 29,bafetimbi gomis,attacker,swansea,marseille,loan
jul 28,danilo barbosa,midfielder,sporting braga,benfica,loan
jul 27,younousse sankhare,midfielder,guingamp,lille,undisclosed
jul 26,giovani lo celso,midfielder,rosario central,psg,10000000
jul 26,stijn schaars,midfielder,psv,heerenveen,0
jul 24,aaron leya iseka,attacker,anderlecht,marseille,loan
jul 24,kolo toure,defender,liverpool,celtic,0
jul 21,ruben rochina,attacker,granada,rubin kazan,10000000
jul 20,cheikh m'bengue,defender,rennes,saint etienne,0
jul 20,anastasios donis,attacker,juventus,nice,loan
jul 15,heiko westermann,defender,real betis,ajax,0
jul 13,martin skrtel,defender,liverpool,fenerbahce,6600000
jul 13,alex telles,defender,galatasaray,porto,6500000
jul 13,morgan de sanctis,goalkeeper,roma,monaco,0
jul 11,emanuel mammana,defender,river plate,lyon,7500000
jul 11,dalbert henrique,defender,vitoria guimaraes,nice,2000000
jul 11,tomas hubocan,defender,dynamo moscow,marseille,1200000
jul 11,walter benitez,goalkeeper,quilmes,nice,0
jul 11,djibril sidibe,defender,lille,monaco,15000000
jul 7,ramy bensebaini,defender,paradou ac,rennes,2000000
jul 7,miguel layun,defender,watford,porto,6000000
jul 7,oscar benitez,midfielder,lanus,benfica,3300000
jul 6,andrija zivkovic,midfielder,partizan belgrade,benfica,0
jul 6,roman neustadter,midfielder,schalke,fenerbahce,0
