transfer date,player name,position,from,to,price
feb 1,borja lopez,defender,monaco,dep. la coruna,loan
jan 31,adrian colunga,attacker,brighton,granada,loan
jan 31,jose casado,defender,malaga,almeria,loan
jan 31,bruno zuculini,midfielder,manchester city,cordoba,loan
jan 30,daniel candeias,midfielder,benfica,granada,loan
jan 30,eric bailly,defender,espanyol,villarreal,5750000
jan 30,ivan ramis,defender,wigan,levante,0
jan 30,kalu uche,attacker,al rayyan,levante,0
jan 30,rene krhin,midfielder,inter milan,cordoba,loan
jan 29,heldon,attacker,sporting lisbon,cordoba,loan
jan 28,juan cala,defender,cardiff,granada,0
jan 26,joel campbell,attacker,arsenal,villarreal,loan
jan 24,lucas silva,midfielder,cruzeiro,real madrid,14000000
jan 22,ruben perez,midfielder,atletico madrid,granada,loan
jan 22,martin odegaard,midfielder,stromsgodset,real madrid,3000000
jan 21,fernando aristigueita,attacker,nantes,getafe,loan
jan 21,emanuel insua,defender,boca juniors,granada,undisclosed
jan 20,franco acosta,attacker,fenix,villarreal,undisclosed
jan 20,helder costa,midfielder,benfica,dep. la coruna,loan
jan 18,celso borges,midfielder,aik,dep. la coruna,loan
jan 17,robert ibanez,midfielder,valencia,granada,loan
jan 17,jose mari,midfielder,colorado rapids,levante,undisclosed
jan 15,javi guerra,attacker, cardiff,malaga,loan
jan 10,javier espinosa,midfielder,villarreal,almeria,loan
jan 9,bebe,attacker,benfica,cordoba,loan
jan 9,edimar,defender,chievo,cordoba,loan
jan 9,theo bongonda,attacker,zulte waregem,celta vigo,1300000
jan 8,cani,midfielder,villarreal,atletico madrid,loan
jan 8,lass bangoura,midfielder,rayo vallecano,granada,loan
jan 6,oriol riera,attacker,wigan,dep. la coruna,loan
jan 6,egor filipenko,defender,bate borisov,malaga,undisclosed
dec 30,fernando torres,attacker,ac milan,atletico madrid,loan
dec 30,enzo perez,midfielder,benfica,valencia,25000000
dec 30,saul fernandez,midfielder,elche,dep. la coruna,0
sep 2,baba diawara,attacker,sevilla,getafe,loan
sep 2,dejan lekic,attacker,genclerbirligi,eibar,0
sep 2,tono,goalkeeper,granada,rayo vallecano,0
sep 2,nabil ghilas,attacker,porto,cordoba,loan
sep 1,alessio cerci,attacker,torino,atletico madrid,16000000
sep 1,jose canas,midfielder,swansea,espanyol,0
sep 1,javier hernandez,attacker,manchester utd,real madrid,loan
sep 1,helder postiga,attacker,valencia,dep. la coruna,0
sep 1,sidnei,defender,benfica,dep. la coruna,loan
sep 1,alvaro negredo,attacker,manchester city,valencia,loan
sep 1,emiliano insua,defender,atletico madrid,rayo vallecano,loan
sep 1,juanfran,midfielder,real betis,dep. la coruna,undisclosed
aug 31,stephane mbia,midfielder,qpr,sevilla,0
aug 30,dany nounkeu,defender,galatasaray,granada,loan
aug 29,douglas pereira,defender,santos,barcelona,5500000
aug 28,emiliano velazquez,defender,danubio,atletico madrid,undisclosed
aug 27,didac vila,defender,ac milan,eibar,loan
aug 26,nana welbeck,midfielder,brescia,atalanta,0
aug 26,borja viguera,attacker,deportivo alaves,athletic bilbao,1000000
aug 21,joao cancelo,defender,benfica,valencia,loan
aug 20,federico piovaccari,attacker,sampdoria,eibar,loan
aug 20,leo baptistao,attacker,atletico madrid,rayo vallecano,loan
aug 20,derek boateng,midfielder,rayo vallecano,eibar,0
aug 19,haris medunjanin,midfielder,gaziantep,dep. la coruna,undisclosed
aug 19,bruno zuculini,midfielder,manchester city,valencia,loan
aug 18,ever banega,midfielder,valencia,sevilla,2500000
aug 17,cristian alvarez,goalkeeper,san lorenzo,rayo vallecano,loan
aug 15,gerard deulofeu,attacker,barcelona,sevilla,loan
aug 15,miguel torres,defender,olympiakos,malaga,0
aug 14,raul jimenez,attacker,club america,atletico madrid,11000000
aug 12,nemanja radoja,midfielder,vojvodina,celta vigo,"900,000"
aug 11,lucas orban,defender,bordeaux,valencia,2000000
aug 11,filipe augusto,midfielder,rio ave,valencia,loan
aug 11,ivan cavaleiro,attacker,benfica,dep. la coruna,loan
aug 10,fausto rossi,midfielder,juventus,cordoba,loan
aug 10,inigo lopez,defender,paok,cordoba,0
aug 10,lica,midfielder,porto,rayo vallecano,loan
aug 10,vicente guaita,goalkeeper,valencia,getafe,0
aug 10,enzo roco,defender,uni. catolica,elche,loan
aug 10,johan mojica,defender,deportivo cali,rayo vallecano,undisclosed
aug 10,esteban granero,midfielder,qpr,real sociedad,3000000
aug 10,luis farina,defender,benfica,dep. la coruna,loan
aug 10,dani nieto,midfielder,barcelona b,eibar,undisclosed
aug 10,antoine griezmann,attacker,real sociedad,atletico madrid,30000000
aug 10,victor ruiz,defender,valencia,villarreal,loan
aug 10,jesus gamez,defender,malaga,atletico madrid,undisclosed
aug 10,thomas vermaelen,defender,arsenal,barcelona,19000000
aug 10,borja ekiza,defender,athletic bilbao,eibar,0
