transfer date,player name,position,from,to,price
jan 1,antonio carlos,defender,palmeiras,orlando city sc,loan
feb 7,patrice evra,defender,marseille,west ham,0
jan 31,lucas moura,attacker,psg,tottenham,28400000
jan 31,badou ndiaye,midfielder,galatasaray,stoke city,16000000
jan 31,didier ndong,midfielder,sunderland,watford,loan
jan 31,olivier giroud,attacker,arsenal,chelsea,17000000
jan 31,pierre-emerick aubameyang,attacker,borussia dortmund,arsenal,63750000
jan 31,andre ayew,attacker,west ham united,swansea city,22800000
jan 31,martin dubravka,goalkeeper,sparta praha,newcastle united,loan
jan 31,jordan hugill,attacker,preston north end,west ham united,undisclosed
jan 31,andy king,midfielder,leicester city,swansea city,loan
jan 31,jack withers,defender,boston united,swansea city,undisclosed
jan 31,alexander sorloth,attacker,fc midtjylland,crystal palace,undisclosed
jan 31,islam slimani,attacker,leicester city,newcastle united,loan
jan 31,eliaquim mangala,defender,manchester city,everton,loan
jan 30,dodi lukebakio,attacker,rsc charleroi,watford,undisclosed
jan 30,jack harrison,attacker,new york city fc,manchester city,4000000
jan 30,emerson,defender,as roma,chelsea,20000000
jan 29,ali gabr,defender,zamalek,west bromwich,loan
jan 29,leonardo ulloa,attacker,leicester city,brighton,loan
jan 29,aymeric laporte,defender,athletic bilbao,manchester city,65000000
jan 29,daniel sturridge,attacker,liverpool,west bromwich,loan
jan 29,gerard deulofeu,attacker,fc barcelona,watford,loan
jan 26,joao mario,midfielder,inter milan,west ham united,loan
jan 25,guido carrillo,attacker,monaco,southampton,22000000
jan 23,aaron lennon,midfielder,everton,burnley,undisclosed
jan 23,jaroslaw jach,defender,zaglebie lubin,crystal palace,3000000
jan 23,kenedy,defender,chelsea,newcastle united,loan
jan 22,alexis sanchez,attacker,arsenal,manchester united,undisclosed
jan 22,erdal rakip,midfielder,benfica,crystal palace,loan
jan 22,henrikh mkhitaryan,midfielder,manchester united,arsenal,undisclosed
jan 19,jurgen locadia,attacker,psv eindhoven,brighton,17000000
jan 18,konstantinos stafylidis,defender,augsburg,stoke city,loan
jan 17,theo walcott,attacker,arsenal,everton,22500000
jan 11,alex pritchard,midfielder,norwich city,huddersfield,13500000
jan 9,georges-kevin n'koudou,attacker,tottenham,burnley,loan
jan 9,moritz bauer,defender,rubin kazan,stoke city,5700000
jan 5,cenk tosun,attacker,besiktas,everton,25000000
jan 5,ross barkley,midfielder,everton,chelsea,16800000
jan 4,konstantinos mavropanos,defender,pas gianina,arsenal,undisclosed
jan 2,terence kongolo,defender,monaco,huddersfield,loan
jan 1,virgil van dijk,defender,southampton,liverpool,78800000
jan 1,ahmed hegazy,defender,ahly,west brom,5000000
aug 31,nahki wells,attacker,huddersfield,burnley,5400000
