transfer date,player name,position,from,to,price
jan 31,fredy guarin,midfielder,porto,inter milan,loan
jan 31,ishak belfodil,midfielder,lyon,bologna,loan
jan 31,sulley muntari,midfielder,inter milan,ac milan,loan
jan 31,michele pazienza,midfielder,juventus,udinese,loan
jan 31,simone padoin,midfielder,atalanta,juventus,5000000
jan 31,ciro immobile,attacker,juventus,genoa,8000000
jan 31,kenneth zohore,attacker,fc copenhagen,fiorentina,undisclosed
jan 31,philipp prosenik,attacker,chelsea,ac milan,undisclosed
jan 31,angelo palombo,midfielder,sampdoria,inter milan,loan
jan 31,vincenzo iaquinta,attacker,juventus,cesena,loan
jan 31,felipe seymour,midfielder,genoa,catania,loan
jan 31,dario dainelli,defender,genoa,chievo,loan
jan 31,osarimen ebagua,attacker,torino,catania,loan
jan 31,ouasim bouy,midfielder,ajax,juventus,undisclosed
jan 31,simone del nero,midfielder,lazio,cesena,loan
jan 31,lucas roggia,attacker,internacional,ac milan,loan
jan 31,antonio candreva,midfielder,cesena,lazio ,loan
jan 31,mario alberto santana,attacker,napoli,cesena,loan
jan 31,juan pablo carrizo,goalkeeper,lazio,catania,loan
jan 30,valeri bojinov,attacker,sporting lisbon,lecce,loan
jan 30,guido pizarro,midfielder,lanus,fiorentina,3000000
jan 30,ruben olivera,midfielder,lecce,fiorentina,1500000
jan 30,marquinho,midfielder,fluminense,roma,loan
jan 30,fernando belluschi,midfielder,porto,genoa,loan
jan 30,mcdonald mariga,midfielder,inter milan,parma,loan
jan 30,marco motta,defender,juventus,catania,loan
jan 28,martin caceres,defender,sevilla,juventus,loan
jan 27,maxi lopez,attacker,catania,ac milan,loan
jan 26,mauricio pinilla,attacker,palermo,cagliari,loan
jan 25,juan jesus,defender,inter milan,novara,loan
jan 25,stefano ferrario,defender,lecce,parma,loan
jan 25,manuele blasi,midfielder,parma,lecce,undisclosed
jan 25,leonardo miglionico,defender,livorno,lecce,loan
jan 24,alessandro carrozza,midfielder,varese,atalanta,loan
jan 24,amauri,attacker,juventus,fiorentina,undisclosed
jan 23,juan jesus,defender,internacional,inter milan,4000000
jan 22,emiliano alfaro,attacker,liv. montevideo,lazio,3200000
jan 22,stefano okaka,attacker,roma,parma,loan
jan 19,massimo donati,midfielder,bari,palermo,undisclosed
jan 18,jonathan,midfielder,inter milan,parma,loan
jan 18,djamel mesbah,defender,lecce,ac milan,undisclosed
jan 18,giuseppe sculli,attacker,lazio,genoa,undisclosed
jan 18,guglielmo stendardo,defender,lazio,atalanta,loan
jan 17,alexander merkel,midfielder,genoa,ac milan,loan
jan 14,emiliano viviano,goalkeeper,inter milan,palermo,undisclosed
