transfer date,player name,position,from,to,price
feb 1,gilberto moraes,defender,fiorentina,verona,loan
feb 1,modibo diakite,defender,frosinone,sampdoria,undisclosed
feb 1,vasyl pryyma,defender,torino,frosinone,loan
feb 1,vasyl pryyma,defender,torino,frosinone,loan
feb 1,simone carpi,midfielder,ac milan,carpi,loan
feb 1,fabio quagliarella,attacker,torino,sampdoria,loan
feb 1,dominik furman,midfielder,toulouse,verona,loan
feb 1,gabriel silva,defender,udinese,genoa,loan
feb 1,riccardo fiamozzi,defender,pescara,genoa,undisclosed
feb 1,lorenzo ariaudo,defender,sassuolo,empoli,loan
feb 1,diego perotti,midfielder,genoa,roma,loan
feb 1,nikola ninkovic,midfielder,partizan belgrade,genoa,"500,000"
feb 1,nikola ninkovic,midfielder,genoa,chievo,loan
feb 1,andrija balic,midfielder,hajduk split,udinese,undisclosed
feb 1,jhon fredy miranda,attacker,indep. santa fe,chievo,loan
feb 1,filippo porcari,midfielder,bari,carpi,loan
feb 1,yohan benalouane,defender,leicester,fiorentina,loan
feb 1,tim matavz,attacker,augsburg,genoa,loan
feb 1,vasco regini,defender,sampdoria,napoli,loan
feb 1,panagiotis kone,midfielder,udinese,fiorentina,loan
jan 31,kevin constant,midfielder,trabzonspor,bologna,0
jan 31,ryder matos,attacker,fiorentina,udinese,3000000
jan 30,jacopo sala,midfielder,verona,sampdoria,loan
jan 30,emil hallfredsson,midfielder,verona,udinese,undisclosed
jan 29,ervin zukanovic,defender,sampdoria,roma,loan
jan 29,martin skriniar,defender,msk zilina,sampdoria,1000000
jan 29,eder,attacker,sampdoria,inter milan,loan
jan 28,francesco bardi,goalkeeper,inter milan,frosinone,loan
jan 28,andrea ranocchia,defender,inter milan,sampdoria,loan
jan 28,marco borriello,attacker,carpi,atalanta,undisclosed
jan 28,jonathan de guzman,midfielder,napoli,carpi,loan
jan 28,luca marrone,midfielder,juventus,verona,loan
jan 27,eddy gnahore,midfielder,napoli,carpi,loan
jan 27,eddy gnahore,midfielder,carrarese,napoli,undisclosed
jan 27,simone colombi,goalkeeper,cagliari,carpi,loan
jan 27,stephan el shaarawy,attacker,ac milan,roma,loan
jan 27,alberto grassi,midfielder,atalanta,napoli,8500000
jan 27,richard marcone,goalkeeper,trapani,verona,loan
jan 25,serge gakpe,attacker,genoa,atalanta,loan
jan 25,andrea petagna,attacker,ac milan,atalanta,undisclosed
jan 23,nicolas spolli,defender,carpi,chievo,0
jan 23,cristian tello,midfielder,barcelona,fiorentina,loan
jan 22,zdravko kuzmanovic,midfielder,basel,udinese,loan
jan 22,mauro zarate,attacker,west ham,fiorentina,2100000
jan 22,alessio cerci,midfielder,ac milan,genoa,loan
jan 21,stefano sabelli,defender,bari,carpi,loan
jan 21,dodo,defender,inter milan,sampdoria,loan
jan 21,tino costa,midfielder,spartak moscow,fiorentina,loan
jan 20,marcello trotta,attacker,avellino,sassuolo,2700000
jan 19,remo freuler,midfielder,luzern,atalanta,undisclosed
jan 19,rolando mandragora,midfielder,genoa,juventus,6000000
jan 19,samir,defender,granada,verona,loan
jan 18,berat djimsiti,defender,zurich,atalanta,undisclosed
jan 15,norbert balogh,attacker,debrecen,palermo,1500000
jan 14,alessandro diamanti,attacker,guangzhou,atalanta,loan
jan 14,ante rebic,attacker,fiorentina,verona,loan
jan 14,ciro immobile,attacker,bor. dortmund,torino,loan
jan 14,camilo zuniga,defender,napoli,bologna,loan
jan 13,stefano sensi,midfielder,cesena,sassuolo,4000000
jan 13,matteo mancosu,attacker,bologna,carpi,loan
jan 12,sergio floccari,attacker,sassuolo,bologna,undisclosed
jan 12,ronaldo da silva,midfielder,empoli,lazio,undisclosed
jan 12,thiago cionek,defender,modena,palermo,"350,000"
jan 8,bryan cristante,midfielder,benfica,palermo,loan
jan 6,oliver kragl,midfielder,sv reid,frosinone,undisclosed
jan 6,arlind ajeti,defender,basel,frosinone,0
jan 6,milan bisevac,defender,lyon,lazio,undisclosed
jan 5,bruno gomes,attacker,internacional,genoa,undisclosed
jan 5,suso,midfielder,ac milan,genoa,loan
jan 5,luca rigoni,midfielder,palermo,genoa,undisclosed
jan 5,marco crimi,midfielder,bologna,carpi,loan
jan 5,emanuele suagher,defender,atalanta,carpi,loan
jan 5,fabio daprela,defender,palermo,carpi,0
jan 4,ricky alvarez,midfielder,inter milan,sampdoria,0
jan 4,kevin-prince boateng,midfielder,schalke,ac milan,0
dec 30,urby emanuelson,defender,atalanta,verona,0
dec 8,manuel arteaga,attacker,zulia fc,palermo,undisclosed
oct 2,mohamed salah,midfielder,chelsea,roma,22000000
oct 2,edin dzeko,attacker,manchester city,roma,11000000
oct 2,iago falque,attacker,genoa,roma,undisclosed
sep 23,francesco lodi,midfielder,parma,udinese,0
sep 21,matuzalem,midfielder,bologna,verona,0
sep 18,alessandro cannataro,midfielder,inter milan,bournemouth,0
sep 4,joan verdu,midfielder,baniyas,fiorentina,0
sep 1,giampiero pinzi,midfielder,udinese,chievo,undisclosed
sep 1,emerson palmieri,defender,santos,roma,loan
sep 1,nathaniel chalobah,defender,chelsea,napoli,loan
aug 31,cristian ansaldi,defender,zenit,genoa,loan
aug 31,blerim dzemaili,midfielder,galatasaray,genoa,loan
aug 31,leandro paredes,midfielder,roma,empoli,loan
aug 31,cristian zaccardo,defender,ac milan,carpi,undisclosed
