transfer date,player name,position,from,to,price
jan 31,jose sand,attacker,al-ain,deportivo,loan
jan 31,paolo da silva ,defender,sunderland,real zaragoza,undisclosed
jan 31,william ferreira ,attacker,bolivar,real valladolid,loan
jan 31,sofiane feghouli,midfielder,valencia,almeria,loan
jan 31,xisco,attacker,newcastle ,deportivo,loan
jan 31,giovani dos santos,midfielder,tottenham,racing santander,loan
jan 29,sofiane feghouli,midfielder,valencia,almeria,loan
jan 28, ivan rakitic ,midfielder,schalke,sevilla,1500000
jan 26,emmanuel adebayor,attacker,manchester city,real madrid,loan
jan 25,guirane n daw,midfielder,st etienne,real zaragaoza,undisclosed
jan 20,ferran corominas,attacker,espanyol,osasuna,loan
jan 18,juanito,midfielder,malaga,almeria,0
jan 15,diego buonanotte,midfielder,river plate,malaga,4500000
jan 15,alvaro cejudo,midfielder,las palmas,osasuna,"240,000"
jan 15,sebastian dubarbier,midfielder,fc lorient,tenerife,loan
jan 14,cicinho,defender,roma,villarreal,loan
jan 13,juanfran torres ,midfielder,osasuna,atletico madrid,4500000
jan 13,wellington,midfielder,arsenal,levante,loan
jan 3,andre castro,midfielder,porto,sporting gijon,loan
jan 3,adil rami,defender,lille,valencia,undisclosed
dec 30,elias mendes,midfielder,corinthians,atletico madrid ,7000000
dec 30,enzo maresca,midfielder,olympiakos,malaga,0
dec 30,vadim demidov,defender,rosenborg,real sociedad,0
dec 29,julio baptista,attacker,roma,malaga,2000000
dec 29,martin demichelis,defender,bayern munich,malaga,undisclosed
dec 29,ignacio camacho,midfielder,atletico madrid,malaga,1500000
dec 29,sergio asenjo,goalkeeper,atletico madrid,malaga,loan
dec 25,ibrahim afellay,midfielder,psv,barcelona,3500000
sep 1,royston drenthe ,midfielder,real madrid,hercules,loan
sep 1,felipe caicedo,attacker,manchester city,levante,loan
sep 1,miguel lopes,defender,porto,real betis,loan
sep 1,kris stadsgaard,defender,rosenborg,malaga,0
sep 1,ruben martinez,defender,cartagena,malaga,"600,000"
sep 1,pablo osvaldo,attacker,bologna,espanyol,5000000
aug 31,marius stankevicius,defender,sampdoria,valencia,undisclosed
aug 31,sinama pongolle,attacker,sporting lisbon,real zaragoza,loan
aug 31,martin caceres,defender,barcelona,sevilla ,loan
aug 31,markus rosenberg,attacker,werder bremen,racing santander,loan
aug 31,pablo pintos,defender,lazio,getafe,undisclosed
aug 30,david trezeguet,attacker,juventus,hercules,0
aug 30,javier mascherano,midfielder,liverpool,barcelona,20000000
aug 30,aldo duscher,midfielder,sevilla,espanyol,0
aug 28,fernando cavenaghi,attacker, bordeaux,real mallorca,loan
aug 26,alexis ruano,defender,valencia,sevilla,5000000
aug 26,piet velthuizen,defender,vitesse,hercules,"500,000"
aug 26,mohamed sarr,attacker, standard liege,hercules,0
aug 26,adam pinter ,defender,mtk budapest,real zaragoza,0
aug 18,mesut ozil,midfielder,werder bremen,real madrid,16000000
aug 18,nelson valdez,attacker,borussia dortmund,hercules,undisclosed
aug 16,quincy owusu-abeyie,attacker,al-sadd ,malaga,0
aug 16,diego ifran,attacker,danubio,real sociedad,1500000
