transfer date,player name,position,from,to,price
jan 31,sebastian langkamp,defender,hertha berlin,werder bremen,2500000
jan 31,milot rashica,attacker,vitesse,werder bremen,7000000
jan 31,michy batshuayi,attacker,chelsea,borussia dortmund,loan
jan 31,admir mehmedi,attacker,bayer leverkusen,wolfsburg,8000000
jan 31,reece oxford,defender,west ham united,monchengladbach,loan
jan 31,ademola lookman,attacker,everton,rb leipzig,loan
jan 30,patrick kammerbauer,goalkeeper,nurnberg,freiburg,"350,000"
jan 29,gaetan bussmann,defender,mainz 05,freiburg,loan
jan 29,abdul rahman baba,defender,chelsea,schalke 04,loan
jan 25,mads bidstrup,midfielder,fc copenhagen,rb leipzig,2000000
jan 25,marco friedl,defender,bayern munich,werder bremen,loan
jan 23,jacob bruun larsen,attacker,borussia dortmund,stuttgart,loan
jan 18,erik thommy,attacker,augsburg,stuttgart,undisclosed
jan 16,vincent koziello,defender,nice,1fc köln,3000000
jan 15,manuel akanji,defender,fc basel,bor. dortmund,21500000
jan 10,renato steffen,midfielder,basel,wolfsburg,1750000
jan 8,josip elez,defender,hnk rijeka,hannover,loan
jan 5,nigel de jong,midfielder,galatasaray,mainz,0
jan 4,marko pjaca,attacker,juventus,schalke,loan
jan 3,cedric teuchert,attacker,nuremberg,schalke,1000000
jan 1,mario gomez,attacker,wolfsburg,stuttgart,3000000
jan 1,lucas holer,attacker,sandhausen,freiburg,undisclosed
jan 1,simon terodde,attacker,stuttgart,koln,3000000
jan 1,anthony ujah,attacker,liaoning,mainz,3800000
jan 1,sandro wagner,attacker,hoffenheim,bayern munich,13000000
sep 13,sejad salihovic,midfielder,fc st. gallen,hamburg,0
aug 31,ante rebic,attacker,fiorentina,eint. frankfurt,loan
aug 31,ihlas bebou,attacker,dusseldorf,hannover,5000000
aug 31,kevin kampl,midfielder,bayer leverkusen,rb leipzig,20000000
aug 31,divock origi,attacker,liverpool,wolfsburg,loan
aug 31,panagiotis retsos,defender,olympiacos,bayer leverkusen,22000000
aug 31,ishak belfodil,attacker,standard liege,werder bremen,loan
aug 31,ryan kent,attacker,liverpool,freiburg,loan
aug 31,jadon sancho,attacker,manchester city,bor. dortmund,"210,000"
aug 31,andreas beck,defender,besiktas,stuttgart,2000000
aug 30,felix passlack,defender,bor. dortmund,hoffenheim,loan
aug 30,jeremy toljan,defender,hoffenheim,bor. dortmund,undisclosed
aug 28,andriy yarmolenko,midfielder,dynamo kiev,bor. dortmund,25000000
aug 26,yoric ravet,midfielder,young boys,freiburg,undisclosed
aug 22,marcel tisserand,defender,ingolstadt,wolfsburg,loan
aug 18,kevin-prince boateng,midfielder,las palmas,eint. frankfurt,0
aug 17,raul bobadilla,attacker,augsburg,bor. mgladbach,undisclosed
aug 16,simon falette,defender,metz,eint. frankfurt,loan
aug 11,marco terrazzino,attacker,hoffenheim,freiburg,2500000
aug 7,paul verhaegh,defender,augsburg,wolfsburg,1500000
aug 4,michael langer,goalkeeper,norrkoping,schalke,0
aug 4,holger badstuber,defender,bayern munich,stuttgart,0
