transfer date,player name,position,from,to,price
feb 1,rafael van der vaart,hamburg,real madrid,13million,feb 1
ayoze diaz,racing santander,real mallorca,undisclosed,feb 1,josemi
villarreal,real mallorca,undisclosed,feb 1,* sergio tejera,chelsea
real mallorca,loan,feb 1,* lassana diarra,portsmouth,real madrid
20.8million,feb 1,* klaas-jan huntelaar,ajax,real madrid,27000000
feb 1,* ricardo oliveira,real zaragoza,real betis,9million,feb 1
sergio garcia,real zaragoza,real betis,undisclosed,feb 1,ezequiel garay
racing santander,real madrid,10million,feb 1,* julien faubert,west ham united
real madrid,loan,feb 1,henok goitom,real murcia,real valladolid
loan,feb 1,damian escudero,villarreal,real valladolid,loan
feb 1,edmilson,barcelona,villarreal,free,feb 1
jozy altidore,new york red bulls,villarreal,6.4million,feb 1,joseba llorente
real valladolid,villarreal,undisclosed,feb 1,robert flores,river plate
villarreal,undisclosed,feb 1,* cesar sanchez,tottenham,valencia
undisclosed,feb 1,sebastien squillaci,lyon,sevilla,undisclosed
feb 1,* pedro oldoni,atlético paranaense,real valladolid,loan,feb 1
aldo duscher,racing santander,sevilla,undisclosed,feb 1,lautaro acosta
lanus,sevilla,7million,feb 1,mehmet aurelio,fenerbahce
real betis,free,feb 1,fabian monzon,boca juniors,real betis
undisclosed,feb 1,daniel alves,sevilla,barcelona,32000000
feb 1,gerard pique,manchester united,barcelona,undisclosed,feb 1
henrique,palmeiras,barcelona,8million,feb 1,jose manuel pinto
celta vigo,barcelona,"500,000",feb 1,alexander hleb,arsenal
barcelona,15million,feb 1,tomas ujfalusi,fiorentina,atletico madrid
free,feb 1,gregory coupet,lyon,atletico madrid,3000000
feb 1,johnny heitinga,ajax,atletico madrid,10million,feb 1
paulo assuncao,porto,atletico madrid,undisclosed,feb 1,martin caceres
villarreal,barcelona,16.5million,feb 1,seydou keita,sevilla
barcelona,14million,feb 1,albert luque,ajax,malaga
free,feb 1,krisztian vadocz,nec nijmegen,osasuna,"950,000"
feb 1,nikola zigic,valencia,racing santander,loan,feb 1
achille emana,toulouse,real betis,7million,feb 1,* adriano
internacional,malaga,loan,feb 1,* vladimir stojkovi?,sporting c.p.
getafe,loan,feb 1,* iván alonso,real murcia,espanyol
2.4million,feb 1,steve finnan,liverpool,espanyol,undisclosed
feb 1,esteban granero,real madrid,getafe,undisclosed,feb 1
