transfer date,player name,position,from,to,price
feb 2,khouma babacar,attacker,fiorentina,racing santander,loan
feb 1,adrian colunga,attacker,getafe,sporting gijon,loan
jan 31,victor sanchez,midfielder,neuchatel xamax,espanyol,0
jan 31,abdelkader ghezzal,attacker,bari,levante,loan
jan 31,joel robles,goalkeeper,atletico madrid,rayo vallecano,loan
jan 31,alejandro martinuccio,attacker,fluminense,villarreal,loan
jan 31,pablo alvarez,defender,catania,real zaragoza,loan
jan 30,philippe coutinho,midfielder,inter milan,espanyol,loan
jan 30,kalu uche,attacker,neuchatel xamax,espanyol,0
jan 30,juanma ortiz,midfielder,rangers,almeria,loan
jan 25,diego costa,attacker,atletico madrid,rayo vallecano,loan
jan 24,salvador agra,attacker,olhanense,real betis,"200,000"
jan 24,adama toure,midfielder,lorient,sporting gijon,undisclosed
jan 24,oscar serrano,midfielder,racing santander,levante,0
jan 22,pedro botelho,defender,arsenal,levante,loan
jan 21,apono,midfielder,malaga,real zaragoza,loan
jan 20,borja gomez,defender,karpaty lviv,granada,loan
jan 20,baba diawara,attacker,maritimo,sevilla,3000000
jan 20,paulao,defender,saint etienne,real betis,loan
jan 17,tomislav dujmovic,midfielder,dynamo moscow,real zaragoza,loan
jan 15,carlos kameni,goalkeeper,espanyol,malaga,0
jan 11,matias campos ,midfielder,audax,granada,3500000
jan 11,javier hervas,midfielder,cordoba,sevilla,1500000
jan 9,jose a reyes,attacker,atletico madrid,sevilla,3500000
aug 31,radamel falcao,attacker,porto,atletico madrid,40000000
aug 31,franco jara,attacker,benfica,granada,loan
aug 31,pape diakhate,attacker,dynamo kiev,granada,4500000
aug 31,dusko tosic,defender,red star,real betis ,0
aug 31,antonio barragan,defender,valladolid,valencia,1800000
aug 31,victor ruiz torre,defender,napoli,valencia,10000000
aug 31,alexandros tziolis,defender,siena,racing santander,0
aug 31,pedro leon ,midfielder,real madrid,getafe,loan
aug 31,arouna kone ,attacker,sevilla,levante ,loan
aug 31,koffi romaric,midfielder,sevilla,espanyol,loan
aug 31,walter pandiani,attacker,osasuna,espanyol,0
aug 31,helder postiga,attacker,sporting lisbon,real zaragoza,1000000
aug 31,pizzi,attacker,braga,atletico madrid,loan
aug 31,moises hurtado,midfielder,olympiakos,granada,undisclosed
aug 31,diego,midfielder,wolfsburg,atletico madrid,loan
aug 31,jonathan de guzman,midfielder,real mallorca,villarreal,8000000
aug 31,ikechukwu uche,attacker,villarreal,granada,loan
aug 30,victor ruiz ,defender,napoli,valenica,undisclosed
aug 29,roque santa cruz ,attacker,mancester city,real betis,loan
