transfer date,player name,position,from,to,price
jan 31,ante palaversa,midfielder,man city,hajduk split,loan
jan 31,georges-kevin n'koudou,attacker,tottenham,monaco,loan
jan 31,youssef aït bennasser,midfielder,monaco,saint-etienne,loan
jan 31,valentin eysseric,midfielder,fiorentina,nantes,loan
jan 31, edgar ié,defender,lille,nantes,loan
jan 31,cuco martina,defender,everton,feyenoord,loan
jan 31,shinji kagawa,midfielder,bor. dortmund,besiktas,loan
jan 31,jeremy toljan,defender,bor. dortmund,celtic,loan
jan 31,alen halilovic,midfielder,ac milan,standard liege,loan
jan 31,yacine adli,midfielder,psg,bordeaux,5000000
jan 31,adrien silva,midfielder,leicester,as monaco,loan
jan 31,erik pieters,defender,stoke city,amiens,loan
jan 30,cristian borja,defender,toluca,sporting cp,2800000
jan 30,carlos vinícius,attacker,lazio,monaco,loan
jan 30,abdul rahman baba,defender,chelsea,reims,loan
jan 30,carlos vinicius,defender,napoli,as monaco,loan
jan 30,merih demiral,defender,sporting lisbon,sassuolo,loan
jan 29,sanjin prcic,midfielder,levante,strasbourg,loan
jan 29,leandro paredes,midfielder,zenit st petersburg,psg,34700000
jan 29,joel untersee,defender,empoli,fc zurich,loan
jan 29,bruno varela,goalkeeper,benfica,ajax,loan
jan 29,tiago ilori,defender,reading,sporting cp,undisclosed
jan 27,gelson martins,attacker,atletico madrid,as monaco,loan
jan 26,arber zeneli,attacker,heerenveen,reims,3600000
jan 26,anders dreyer,midfielder,brighton,st mirren,loan
jan 25,gil dias,midfielder,monaco,olympiakos,loan
jan 25,victor moses,midfielder,chelsea,fenerbahce,loan
jan 25,charlie colkett,midfielder,chelsea,ostersund,loan
jan 24,john obi mikel,midfielder,tianjin teda,middlesbrough,0
jan 23,ashley cole,defender,unattached,derby,0
jan 23,alexandros katranis,defender,saint-etienne,atromitos,loan
jan 23,mario balotelli,attacker,nice,olympique marseille,undisclosed
jan 21,samuel grandsir,midfielder,monaco,strasbourg,loan
jan 17,simone scuffet,goalkeeper,udinese,kasimpasa,loan
jan 17,sead haksabanovic,midfielder,west ham,ifk norrköping,loan
jan 16,steven caulker,defender,unattached,alanyaspor,0
jan 16,armando sadiku,attacker,levante,lugano,undisclosed
jan 15,emiliano rigoni,midfielder,atalanta,zenit st petersburg,loan end
jan 14,mehdi merghem,midfielder,lb châteauroux,guingamp,undisclosed
jan 12,mihailo ristic,defender,krasnodar,montpellier,undisclosed
jan 11,serdar gurler,midfielder,sd huesca,goztepe,loan
jan 10,pepe,defender,unattached,porto,0
jan 10,fousseni diabate,midfielder,leicester,sivasspor,loan
jan 10,fode ballo-toure,defender,lille,as monaco,9900000
jan 9,alexander sorloth,attacker,crystal palace,gent,loan
