transfer date,player name,position,from,to,price
feb 1,nicolás bertolo,banfield,palermo,undisclosed,feb 1
nicola rigoni,vicenza,palermo,undisclosed,feb 1,rubinho
genoa,palermo,undisclosed,feb 1,alessio manzoni,atalanta
parma,undisclosed,feb 1,antonio mirante,sampdoria,parma
loan,feb 1,levan mchedlidze,empoli,palermo,loan
feb 1,karim laribi,fulham,palermo,free,feb 1
cristian melinte,dinamo bucuresti,palermo,free,feb 1,dorin goian
steaua,palermo,undisclosed,feb 1,giacomo brichetto,novara
palermo,loan,feb 1,javier pastore,huracan,palermo
undisclosed,feb 1,blerim dzemaili,torino,parma,loan
feb 1,christian panucci,roma,parma,free,feb 1
pablo fontanello,union san felipe,parma,undisclosed,feb 1,valeri bojinov
manchester city,parma,loan,feb 1,bogdan lobont,bogdan lobont
roma,loan,feb 1,fabio zamblera,newcastle,roma
loan,feb 1,nicolás córdova,grosseto,parma,0
feb 1,manuel coppola,siena,parma,undisclosed,feb 1
daniele galloppa,siena,parma,undisclosed,feb 1,davide lanzafame
palermo,parma,loan,feb 1,hernán paolo dellafiore,palermo
parma,loan,feb 1,jonathan biabiany,internazionale,parma
loan,feb 1,morgan de sanctis,sevilla,napoli,1500000
feb 1,luca cigarini,atalanta,napoli,4.5million,feb 1
julio cruz,inter milan,lazio,free,feb 1,eliseu
malaga,lazio,undisclosed,feb 1,flavio roma,monaco
ac milan,undisclosed,feb 1,antonio candreva,udinese,livorno
loan,feb 1,cristian raimondi,vicenza,livorno,undisclosed
feb 1,albano bizzarri,catania,lazio,undisclosed,feb 1
martin caceres,barcelona,juventus,12million,feb 1,diego
werder bremen,juventus,24.5million,feb 1,fabio cannavaro,real madrid
juventus,free,feb 1,fabio grosso,lyon,juventus
2.9million,feb 1,felipe melo,fiorentina,juventus,20500000
feb 1,cristiano lucarelli,parma,livorno,loan,feb 1
davide marchini,triestina,livorno,undisclosed,feb 1,erwin hoffer
rapid wien,napoli,undisclosed,feb 1,fabio quagliarella,udinese
napoli,16million,feb 1,hugo campagnaro,sampdoria,napoli
undisclosed,feb 1,juan zuniga,siena,napoli,undisclosed
feb 1,mirko pieri,sampdoria,livorno,undisclosed,feb 1
marcus diniz,ac milan,livorno,loan,feb 1,davide moro
empoli,livorno,loan,feb 1,francesco benussi,lecce
livorno,loan,feb 1,leonardo miglionico,sampdoria,livorno
undisclosed,feb 1,luigi vitale,napoli,livorno,loan
feb 1,marco motta,udinese,roma,3.5million (50%),feb 1
nicolas burdisso,inter milan,roma,loan,feb 1,ergun berisha
grasshopper,udinese,undisclosed,feb 1,dusan basta,red star belgrade
udinese,undisclosed,feb 1,fabian orellana,audax italiano,udinese
undisclosed,feb 1,felipe sanchon,aris,udinese,undisclosed
feb 1,fernando forestieri,genoa,udinese,undisclosed,feb 1
diego mainz,albacete,udinese,undisclosed,feb 1,dani benitez
mallorca,udinese,undisclosed,feb 1,michele paolucci,juventus
siena,undisclosed,feb 1,reginaldo,parma,siena
undisclosed,feb 1,allan nyom,arles-avignon,udinese,undisclosed
feb 1,bernardo corradi,reggina,udinese,undisclosed,feb 1
ivan amaya,elche,udinese,undisclosed,feb 1,jaime romero
albacete,udinese,undisclosed,feb 1,rafael romo,llaneros
udinese,undisclosed,feb 1,ricardo chara,quindio,udinese
undisclosed,feb 1,ritchie kitoko,albacete,udinese,undisclosed
feb 1,tariq spezie,puertollano,udinese,undisclosed,feb 1
óscar pérez,tenerife,udinese,undisclosed,feb 1,leandro caruso
godoy cruz,udinese,2.85million,feb 1,javi casares,san fernando
udinese,undisclosed,feb 1,jonathan rossini,sampdoria,udinese
undisclosed,feb 1,jonni cabrera,paraguay,udinese,undisclosed
feb 1,juan guillermo cuadrado,independiente medellin,udinese,undisclosed,feb 1
michele fini,cagliari,siena,free,feb 1,mato jajalo
slaven belupo,siena,undisclosed,feb 1,luciano zauri,lazio
sampdoria,loan,feb 1,marco costantino,spal,sampdoria
loan,feb 1,marco rossi,parma,sampdoria,loan
feb 1,matteo guardalben,treviso,sampdoria,free,feb 1
franco semioli,fiorentina,sampdoria,loan,feb 1,fernando tissone
udinese,sampdoria,undisclosed,feb 1,stefano guberti,bari
roma,free,feb 1,daniele mannini,napoli,sampdoria
undisclosed,feb 1,daniele messina,adrano,sampdoria,undisclosed
feb 1,fabio lamorte,melfi,sampdoria,undisclosed,feb 1
mohammed rabiu,liberty professionals,sampdoria,loan,feb 1,nicola pozzi
empoli,sampdoria,loan,feb 1,filipe,roma
siena,free,feb 1,francesco parravicini,parma,siena
undisclosed,feb 1,gianluca pegolo,genoa,siena,undisclosed
feb 1,lineker vaz costa,treviso,siena,undisclosed,feb 1
claudio terzi,bologna,siena,undisclosed,feb 1,antonio ghomsi
avellino,siena,undisclosed,feb 1,tommaso cancellotti,gubbio
sampdoria,undisclosed,feb 1,vasco regini,cesena,sampdoria
undisclosed,feb 1,aleandro rosi,roma,siena,600000
feb 1,albin ekdal,juventus,siena,loan,feb 1
wesley sneijder,real madrid,inter milan,15million,feb 1,mauro zárate
al sadd,lazio,21million,feb 1,sergio almirón,juventus
bari,loan,feb 1,riccardo meggiorini,genoa,bari
undisclosed,feb 1,vladimir koman,sampdoria,bari,loan
feb 1,andrea raggi,palermo,bologna,loan,feb 1
daniele portanova,siena,bologna,undisclosed,feb 1,riccardo allegretti
triestina,bari,undisclosed,feb 1,paulo barreto,udinese
bari,loan,feb 1,leonardo bonucci,genoa,bari
undisclosed,feb 1,massimo donati,celtic,bari,undisclosed
feb 1,matteo paro,genoa,bari,undisclosed,feb 1
nicola belmonte,siena,bari,loan,feb 1,emiliano viviano
brescia,bologna,undisclosed,feb 1,francesco della rocca,brescia
bologna,loan,feb 1,lino marzoratti,empoli,cagliari
undisclosed,feb 1,mario brkljaca,hajduk split,cagliari,loan
feb 1,michael agazzi,triestina,cagliari,undisclosed,feb 1
miguel anderson da silva,nacional madeira,cagliari,undisclosed,feb 1,federico marchetti
albinoleffe,cagliari,undisclosed,feb 1,daniele dessena,sampdoria
cagliari,undisclosed,feb 1,giacomo tedesco,catania,bologna
undisclosed,feb 1,thiago motta,geona,inter milan,undisclosed
feb 1,rafael santos,atletico paranaense,bologna,loan,feb 1
roberto guana,palermo,bologna,loan,feb 1,ilario lamberti
sapri,bari,undisclosed,feb 1,giuseppe greco,genoa
bari,loan,feb 1,fabio ceravolo,reggina,atalanta
loan,feb 1,fabio caserta,lecce,atalanta,undisclosed
feb 1,leon crncic,aluminij,atalanta,loan,feb 1
matias schelotto,cesena,atalanta,undisclosed,feb 1,miguel layun
veracruz,atalanta,undisclosed,feb 1,edgar barreto,reggina
atalanta,undisclosed,feb 1,thiago silva,tombense,ac milan
undisclosed,feb 1,giacomo beretta,albinoleffe,ac milan,undisclosed
feb 1,gianmarco zigoni,treviso,ac milan,undisclosed,feb 1
klaas-jan huntelaar,real madrid,ac milan,15million,feb 1,oguchi onyewu
standard liege,ac milan,free,feb 1,nicola madonna,albinoleffe
atalanta,undisclosed,feb 1,robert acquafresca,genoa,atalanta
loan,feb 1,edgar àlvarez,roma,bari,undisclosed
feb 1,ferdinando sforzini,udinese,bari,loan,feb 1
filippo antonelli,triestina,bari,undisclosed,feb 1,filippo carobbio
albinoleffe,bari,free,feb 1,daniele padelli,sampdoria
bari,loan,feb 1,armando visconti,avellino,bari
undisclosed,feb 1,simone tiribocchi,lecce,atalanta,undisclosed
feb 1,alessandro marotta,arrone,bari,undisclosed,feb 1
andrea ranocchia,genoa,bari,loan,feb 1,antonio langella
udinese,bari,undisclosed,feb 1,nenê,nacional madeira
cagliari,undisclosed,feb 1,marcelo zalayeta,napoli,bologna
loan,feb 1,bosko jankovic,palermo,genoa,undisclosed
feb 1,andrea esposito,lecce,genoa,undisclosed,feb 1
simone barone,torino,cagliari,undisclosed,feb 1,emiliano moretti
valencia,genoa,undisclosed,feb 1,hernan crespo,inter milan
genoa,undisclosed,feb 1,alberto zapater,zaragoza,genoa
undisclosed,feb 1,santos miranda,treviso,fiorentina,undisclosed
feb 1,francesco di tacchio,ascoli,fiorentina,undisclosed,feb 1
josé castillo,lecce,fiorentina,undisclosed,feb 1,marco marchionni
juventus,fiorentina,4.5million,feb 1,matteo arati,reggiana
fiorentina,undisclosed,feb 1,houssine kharja,siena,genoa
undisclosed,feb 1,francesco bolzoni,internazionale,genoa,undisclosed
feb 1,kerlon,cruzeiro,inter milan,undisclosed,feb 1
lucio,bayern munich,inter milan,undisclosed,feb 1,marko arnautovi?
twente,inter milan,loan,feb 1,samuel eto'o,barcelona
inter milan,player swap,feb 1,diego milito,genoa,inter milan
undisclosed,feb 1,denis alibec,farul constanta,inter milan,undisclosed
feb 1,marco amelia,palermo,genoa,undisclosed,feb 1
nenad tomovic,red star belgrade,genoa,undisclosed,feb 1,rodrigo palacio
boca juniors,genoa,undisclosed,feb 1,sergio floccari,atalanta
genoa,undisclosed,feb 1,cristiano zanetti,juventus,fiorentina
2million,feb 1,domenico criscito,juventus,genoa,undisclosed
feb 1,giuseppe bellusci,ascoli,catania,undisclosed,feb 1
mariano andujar,estudiantes,catania,undisclosed,feb 1,milan bortel
manfredonia,catania,undisclosed,feb 1,nicolas spolli,newell's old boys
catania,undisclosed,feb 1,gennaro delvecchio,sampdoria,catania
undisclosed,feb 1,federico moretti,parma,catania,undisclosed
feb 1,adrian ricchiuti,rimini,catania,undisclosed,feb 1
cesare natali,torino,fiorentina,undisclosed,feb 1,blazej augustyn
legia warszawa,catania,undisclosed,feb 1,ciro capuano,palermo
catania,undisclosed,feb 1,pablo barrientos,fc moscow,catania
4million,feb 1,andrea campagnolo,reggina,catania,undisclosed
feb 1,michal miskiewicz,ac milan,chievo,loan,feb 1
stefano sorrentino,athens,chievo,undisclosed,feb 1,boadu maxwell acosty
reggiana,fiorentina,undisclosed,feb 1,dario d'ambrosio,triestina
chievo,undisclosed,feb 1,matteo merini,lazio,chievo
undisclosed,feb 1,marcello cottafava,triestina,chievo,undisclosed
feb 1,dimas,sambonifacese,chievo,undisclosed,feb 1
fabio ceccarelli,treviso,chievo,undisclosed,feb 1,giampiero pinzi
udinese,chievo,loan,feb 1,luca ariatti,lecce
chievo,undisclosed,feb 1,ionut radu,potenza,chievo
undisclosed,feb 1,keirrison,attacker,barcelona,fiorentina
loan,feb 1,thomas hitzlsperger ,midfielder,stuttgart,lazio
undisclosed,feb 1,hernan crespo,attacker,genoa,parma
undisclosed,feb 1,amantino mancini,midfielder,inter milan,ac milan
loan,feb 1, nicola amoruso,attacker,parma,atalanta
undisclosed,feb 1,alexandros tziolis,midfielder,panathinaikos,siena
undisclosed,feb 1,mcdonald mariga,midfielder,parma,inter milan
undisclosed,jan 30,haris seferovic,attacker,haris seferovic,fiorentina
undisclosed,jan 30,sebastian eguren,midfielder,villarreal,lazio
loan,jan 21,antonio candreva,midfielder,udinense,juventus
loan,jan 19,mario bolatti,midfielder,porto,fiorentina
undisclosed,jan 19,danijel aleksic ,attacker,vojvodina ,genoa
undisclosed,jan 15,marco storari,goalkeeper,ac milan,sampdoria
loan,jan 14,adem ljajic,midfielder,partizan belgrade,fiorentina
8million,jan 12,dario dainelli,defender,fiorentina,genoa
2.5million,jan 9,andrea dossena,defender,liverpool,napoli
4.5million,jan 5,felipe ,defender,udinese,fiorentina
loan,jan 5,sergio floccari,attacker,genoa,lazio
loan,jan 4,goran pandev,attacker,lazio,inter milan
undisclosed,jan 3,luca toni,attacker,bayern munich,roma
