transfer date,player name,position,from,to,price
jan 31,ludovic obraniak,midfielder,bordeaux,werder bremen,2000000
jan 31,milos jojic,midfielder,partizan belgrade,bor. dortmund,2200000
jan 31,jose campana,midfielder,crystal palace,nuremberg,loan
jan 30,andres guardado,midfielder,valencia,bayer leverkusen,loan
jan 30,frantisek rajtoral,defender,viktoria plzen,hannover,loan
jan 30,carlos gruezo,midfielder,barcelona sc,stuttgart,undisclosed
jan 20,koo ja-cheol,midfielder,wolfsburg,mainz,3000000
jan 18,kevin de bruyne,midfielder,chelsea,wolfsburg,17500000
jan 18,ouasim bouy,midfielder,juventus,hamburg,loan
jan 17,ola john,attacker,benfica,hamburg,loan
jan 16,ji dong-won,attacker,sunderland,augsburg,undisclosed
jan 11,artjoms rudnevs,attacker,hamburg,hannover,loan
jan 9,ondrej petrak,midfielder,slavia prague,nuremberg,1000000
jan 8,tobias weis,midfielder,hoffenheim,eint. frankfurt,loan
jan 7,dario kresic,goalkeeper,lokomotiv moscow,mainz,0
jan 6,mitsuro marouka,midfielder,cerezo osaka,bor. dortmund,loan
jan 5,julian brandt,midfielder,wolfsburg,bayer leverkusen,undisclosed
jan 4,todor nedelev,attacker,botev plovdiv,mainz,undisclosed
jan 3,alexander madlung,defender,wolfsburg,eint. frankfurt,0
jan 1,jan kirchhoff,defender,bayern munich,schalke,loan
nov 21,manuel friedrich,defender,bayer leverkusen,bor. dortmund,0
sep 2,karim haggui,defender,hannover,stuttgart,undisclosed
sep 2,per skjelbred,midfielder,hamburg,hertha,loan
sep 2,tranquillo barnetta,midfielder,schalke,eint. frankfurt,loan
sep 2,pierre-michel lasogga,attacker,hertha,hamburg,loan
sep 1,makoto hasebe,midfielder,wolfsburg,nuremberg,2500000
sep 1,santigo garcia,defender,palermo,werder bremen,loan
aug 31,eren derdiyok,attacker,bayer leverkusen,hoffenheim,loan
aug 30,kevin-prince boateng,midfielder,ac milan,schalke,12000000
aug 29,vladimir darida,midfielder,viktoria plzen,freiburg,4000000
aug 29,dennis aogo,defender,hamburg,schalke,loan
aug 22,karim bellarabi,midfielder,bayer leverkusen,braunschweig,loan
