transfer date,player name,position,from,to,price
jan 31,nicola legrottaglie ,defender,juventus,ac milan,undisclosed
jan 31,vedran celjak,defender,nk zagreb,sampdoria,undisclosed
jan 31,juto nagatomo ,defender,cesena,inter milan,loan
jan 31,amauri ,attacker,juventus,parma,loan
jan 31,cristiano zanetti,midfielder,fiorentina,brescia,undisclosed
jan 31,pablo ceppelini ,midfielder,penarol,cagliari,undisclosed
jan 29,didac vila,defender,espanyol,ac milan,3000000
jan 29,houssine kharja,midfielder,genoa,inter milan,loan
jan 28, giampaolo pazzini ,attacker,sampdoria,inter milan,undisclosed
jan 27,victor ruiz,defender,napoli,espanyol,6000000
jan 27,andrea barzagli,defender,wolfsburg,juventus,"300,000"
jan 27,fernando uribe,attacker, once caldas,chievo,undisclosed
jan 27,roope riski,attacker,tps turku,cesena,undisclosed
jan 26,valon behrami,defender,west ham,fiorentina,undisclosed
jan 25,massimo maccarone,attacker,palermo,sampdoria,undisclosed
jan 25,mark van bommel,midfielder,bayern munich,ac milan,0
jan 24,urby emanuelson,defender,ajax,ac milan,1700000
jan 20,abdoulay konko,defender,sevilla,genoa,6000000
jan 20,joel ekstrand,defender,helsingborg if,udinese,undisclosed
jan 20,zsolt laczko,defender,debrecen,sampdoria,"800,000"
jan 18,a. floro flores,attacker,udinese,genoa,loan
jan 18,giuseppe sculli,attacker,genoa,lazio,3500000
jan 17,gergely rudolf ,attacker,genoa,bari,loan
jan 14,mauro boselli ,attacker,wigan athletic,genoa,loan
jan 12,juraj kucka,midfielder,sparta prague,genoa,3600000
jan 6,stefano okaka,attacker,roma,bari,loan
jan 3,federico macheda ,attacker,manchester utd,sampdoria,loan
jan 3,andrea ranocchia,defender,genoa,inter milan,12500000
dec 29, raffaele palladino,attacker,genoa,parma,swap
dec 29,toni calvo,midfielder,aris,parma,loan
dec 29,francesco modesto,defender,genoa,parma,swap
dec 29,alberto paloschi,attacker,parma,genoa,swap
dec 29,antonio cassano,attacker,sampdoria,ac milan,5000000
dec 29,luca antonelli,defender,parma,genoa,7000000
sep 1,kakha kaladze,defender,ac milan,genoa,undisclosed
sep 1,frederik sorensen,defender,lyngby,juventus,loan
sep 1,marco borriello,attacker,ac milan,roma,loan
sep 1,david di michele,attacker,torino,lecce,0
sep 1,leandro rinaudo,defender,napoli,juventus,loan
sep 1,joao pedro,midfielder,atletico mineiro,palermo,6000000
sep 1,igor budan,attacker,palermo,cesena,loan
sep 1,luis jimenez ,midfielder,cesena,inter milan ,loan
sep 1,linus hallenius,attacker,hammarby,genoa,undisclosed
sep 1,jeda,attacker,cagliari ,lecce,undisclosed
aug 31,andrea rispoli,defender,parma,lecce,loan
aug 31,nicolao dumitru ,attacker,empoli,napoli,loan
aug 31,edward ofere,attacker,malmoe ff,lecce,undisclosed
aug 31,antonio candreva,midfielder,udinese,parma,loan
aug 31,yohan benalouane ,defender,st etienne,cesena,loan
aug 31,gelson fernandes ,midfielder,st etienne,chieve,loan
aug 31,diego perez,midfielder,monaco,bologna,loan
aug 31,robinho,attacker,manchester city,ac milan,18000000
aug 31,jonathan zebina,defender,juventus,brescia,0
aug 31,ivan radovanovic,midfielder,atalanta,bologna,loan
aug 31,armand traore,defender,arsenal,juventus,loan
aug 30,josip ilicic ,midfielder,maribor,palermo,undisclosed
aug 30,armin bacinovic ,midfielder,maribor,palermo,undisclosed
aug 30,hassan yebda,midfielder,benfica,napoli,loan
aug 30,jose ernesto,midfielder,bayern munich,napoli,0
aug 30,pablo estifer armero,defender,palmeiras,udinese,undisclosed
aug 30,fabio daprela,defender,west ham,brescia,0
aug 28,fabio quagliarella,attacker,napoli,juventus,loan
aug 28,nicolas burdisso,defender,inter milan,roma,8000000
aug 28,alessio cerci,midfielder,roma,fiorentina,3000000
aug 26,eder,attacker,empoli,brescia,undisclosed
aug 26,javier chevanton ,attacker,sevilla,lecce,0
aug 25,alberto aquilani,midfielder,liverpool,juventus,loan
aug 25,alessandro diamanti,attacker,west ham,brescia,2200000
aug 25,cristiano lucarelli,attacker,parma,napoli,loan
aug 25,diego cavalieri,goalkeeper,liverpool,cesena,undisclosed
aug 21,milos krasic,attacker,cska moscow ,juventus,15000000
aug 19,massimo gobbi ,midfielder,fiorentina,parma,0
aug 19,danilo pereira,attacker,benfica,parma,undisclosed
aug 19,kevin-prince boateng,midfielder,genoa,ac milan,loan
aug 19,robert acquafresca,attacker,genoa,cagliari,loan
aug 18,german denis,attacker,napoli,udinese,undisclosed
aug 11,gabriele perico,defender,albinoleffe,cagliari ,undisclosed
aug 11, simon laner,midfielder,albinoleffe,cagliari,undisclosed
