transfer date,player name,position,from,to,price
jan 31,facundo roncaglia,defender,celta vigo,valencia,loan
jan 31,mario suarez,midfielder,gz hengfeng,rayo vallecano,loan
jan 31,ryad boudebouz,midfielder,real betis,celta vigo,loan
jan 31,ruben sobrino,attacker,deportivo alaves,valencia,6000000
jan 31,kenan kodro,attacker,fc copenhagen,athletic bilbao,"875,000"
jan 31,lucas olaza,defender,boca juniors,celta vigo,loan
jan 31,jean-clair todibo,defender,toulouse,fc barcelona,undisclosed
jan 31,jose machin,attacker,pescara,parma,loan
jan 31,facundo ferreyra,attacker,benfica,espanyol,loan
jan 31,uche agbo,midfielder,standard liege,rayo vallecano,loan
jan 31,diego rolan,attacker,deportivo,alaves,loan
jan 31,stole dimitrievski,goalkeeper,gimnastic,rayo vallecano,undisclosed
jan 31,franco di santo,attacker,schalke 04,rayo vallecano,0
jan 31,alfa semedo,midfielder,benfica,espanyol,loan
jan 31,juanpi anor,midfielder,malaga,huesca,loan
jan 30,ruben vezo,defender,valencia,levante,loan
jan 29,marko rog,midfielder,napoli,sevilla,loan
jan 29,jese,attacker,psg,real betis,loan
jan 28,wu lei,attacker,shanghai sipg,espanyol,undisclosed
jan 28,alvaro morata,attacker,chelsea,atletico madrid,loan
jan 28,diego reyes,defender,fenerbahce,leganes,loan
jan 25,takashi inui,midfielder,real betis,alaves,loan
jan 25,sergi guardiola,attacker,cordoba,real valladolid,undisclosed
jan 23,frenkie de jong,midfielder,ajax,fc barcelona,86000000
jan 23,pablo hervias,attacker,eibar,real valladolid,loan
jan 22,wesley hoedt,defender,celta vigo,southampton,loan
jan 21,kevin-prince boateng,midfielder,sassuolo,fc barcelona,loan
jan 17,yangel herrera,midfielder,man city,sd huesca,loan
jan 17,enric gallego,attacker,extremadura,sd huesca,2600000
jan 15,raul garcia,defender,leganes,girona,0
jan 13,vasyl kravets,defender,cd lugo,leganes,1350000
jan 11,maximilian wöber,defender,ajax,sevilla,9450000
jan 11,munir el haddadi,attacker,fc barcelona,sevilla,"945,000"
jan 10,ibai gomez,attacker,athletic bilbao,alaves,3600000
jan 10,diego lainez,attacker,club america,real betis,12600000
jan 7,vicente iborra,midfielder,leicester,villarreal,9000000
jan 7,brahim diaz,midfielder,man city,real madrid,24500000
jan 3,martin braithwaite,attacker,middlesbrough,leganes,loan
aug 31,borja mayoral,attacker,real madrid,levante ud,loan
aug 31,bebe,attacker,eibar,rayo vallecano,0
aug 31,joaquin fernandez,defender,almeria,real valladolid,undisclosed
aug 31,douglas luiz,midfielder,manchester city,girona,loan
aug 31,alejandro galvez,defender,eibar,rayo vallecano,0
aug 31,quincy promes,attacker,spartak moscow,sevilla,18000000
aug 31,recio,midfielder,malaga,leganes,1350000
aug 31,darko brasanac,midfielder,real betis,alaves,loan
aug 31,alex alegria,attacker,real betis,rayo vallecano,loan
aug 31,stole dimitrievski,goalkeeper,gimnastic,rayo vallecano,loan
aug 31,marc cucurella,defender,fc barcelona b,eibar,loan
aug 31,sebastian cristóforo,midfielder,fiorentina,getafe,loan
aug 31,giovani lo celso,midfielder,paris sg,real betis,loan
aug 31,sabin merino,attacker,athletic bilbao,leganes,loan
aug 30,pablo de blasis,midfielder,mainz 05,eibar,1800000
aug 30,sandro ramirez,attacker,everton,real sociedad,loan
aug 30,gianni imbula,midfielder,stoke city,rayo vallecano,loan
aug 30,roberto rosales,defender,malaga,espanyol,loan
aug 30,yoel rodriguez,goalkeeper,eibar,real valladolid,loan
aug 29,mariano diaz,attacker,olympique lyon,real madrid,19400000
aug 28,andriy lunin,goalkeeper,real madrid,leganes,loan
aug 28,goncalo guedes,midfielder,paris sg,valencia,36000000
aug 28,seydou doumbia,attacker,sporting lisbon,girona,undisclosed
aug 25,raul de tomas,attacker,real madrid,rayo vallecano,loan
aug 23,alvaro garcia,midfielder,cadiz,rayo vallecano,4500000
aug 23,dimitri foulquier,defender,watford,getafe,loan
aug 22,jonathan calleri,attacker,ud las palmas,alaves,loan
aug 20,maxime gonalons,midfielder,as roma,sevilla,loan
aug 19,duje cop,attacker,standard liege,real valladolid,loan
aug 19,enes unal,attacker,villarreal,real valladolid,loan
aug 17,youssef en-nesyri ,attacker,malaga,leganes,undisclosed
aug 17,allan nyom,defender,west brom,leganes,loan
aug 17,carlos bacca,attacker,ac milan,villarreal,undisclosed
aug 16,patrick roberts,attacker,manchester city,girona,loan
aug 15,kenneth omeruo,defender,chelsea,leganes,loan
aug 14,oscar rodriguez,midfielder,real madrid b,leganes,loan
aug 14,denis cheryshev,attacker,villarreal,valencia,loan
aug 14,junior alonso,defender,lille,celta vigo,loan
aug 13,michy batshuayi,attacker,chelsea,valencia,loan
aug 13,kevin gameiro,attacker,atletico madrid,valencia,undisclosed
aug 13,tomas pina,midfielder,club brugge,alaves,undisclosed
aug 13,alvaro medran,midfielder,valencia,rayo vallecano,loan
aug 11,andre silva,attacker,ac milan,sevilla,loan
aug 10,theo hernandez,defender,real madrid,real sociedad,loan
aug 9,adrian marin,defender,villarreal,alaves,undisclosed
aug 9,nikola vukcevic,midfielder,sporting braga,levante ud,8000000
aug 9,jordi amat,defender,swansea,rayo vallecano,"900,000"
aug 8,nikola kalinic,attacker,ac milan,atletico madrid,15000000
aug 8,daniele verde,attacker,as roma,real valladolid,loan
aug 8,thibaut courtois,goalkeeper,chelsea,real madrid,40000000
aug 8,mathias jensen,midfielder,nordsjaelland,celta vigo,4500000
aug 7,raphael dwamena,attacker,fc zurich,levante ud,5580000
aug 7,serdar gurler,attacker,osmanlispor,sd huesca,2250000
aug 6,moses simon,attacker,kaa gent,levante ud,4500000
aug 6,moussa wague,defender,kas eupen,barcelona,undisclosed
