transfer date,player name,position,from,to,price
feb 1,lee keun-ho,jubilo iwata,paris saint-germain,free,feb 1
djibril cisse,marseille,panathinaikos,8million,feb 1,jerome rothen
paris saint-germain,rangers,loan,feb 1,lewis holtby,alemannia aachen
shalke,2.5million,feb 1,lubos hanzel,spartak trnava,shalke
loan,feb 1,stephane mbia,rennes,olympique marseille,12000000
feb 1,souleymane diawara,bordeaux,olympique marseille,undisclosed,feb 1
olof mellberg,juventus,olympiakos,2.5million,feb 1,edouard cissé
besiktas,olympique marseille,free,feb 1,gabriel heinze,real madrid
olympique marseille,undisclosed,feb 1,lucho gonzalez,porto,olympique marseille
17million,feb 1,mineiro,chelsea,shalke,0
feb 1,charlie davies,hammarby,sochaux,2million,feb 1
marko marin,b. monchengladbach,werder bremen,undisclosed,feb 1,fabian johnson
1860 munich,wolfsburg,free,feb 1,karim ziani,olympique marseille
wolfsburg,undisclosed,feb 1,obafemi martins,newcastle fc,wolfsburg
10.5million,feb 1,claudio pizarro,chelsea,werder bremen,4700000
feb 1,zdravko kuzmanovic,fiorentina,stuttgart,8million,feb 1
kerlon,inter milan,ajax,loan,feb 1,gelson fernandes
manchester city,st etienne,undisclosed,feb 1,alexander hleb,barcelona
stuttgart,loan,feb 1,pavel pogrebnyak,zenit st petersburg,stuttgart
5million,feb 1,sebastien puygrenier,zenit st petersburg,monaco,loan
feb 1,matias fernandez,villarreal,sporting lisbon,undisclosed,feb 1
lukas podolski,bayern munich,cologne,10million,feb 1,maniche
atletico madrid,cologne,free,feb 1,roman eremenko,udinese
dynamo kiev,undisclosed,feb 1,stefan babovic,nantes,feyenoord
loan,feb 1,heinz muller,barnsley,fsv mainz,"500,000"
feb 1,yoann gourcuff,ac milan,bordeaux,15million,feb 1
mario gomez,stuttgart,bayern munich,30million,feb 1,marko pantelic
hertha berlin,ajax,free,feb 1,timothee atouba,hamburg
ajax,free,feb 1,arjen robben,real madrid,bayern munich
25million,feb 1,edson braafheid,fc twente,bayern munich,undisclosed
feb 1,elano,manchester city,galatasaray,9.4million,feb 1
landry n'guemo,nancy,glasgow celtic,loan,feb 1,aly cissokho
porto,lyon,15million,feb 1,bafetimbi gomis,st etienne
lyon,13million,feb 1,lisandro lopez,porto,lyon
24million,feb 1,michel bastos,lille,lyon,18000000
feb 1,joao paulo andrade,porto,le mans,undisclosed,feb 1
josip simunic,hertha berlin,hoffenheim,7million,feb 1,zheng zhi
charlton,glasgow celtic,free,feb 1,eljero elia,tc twente
hamburg,9million,feb 1,markus berg,groningen,hamburg
undisclosed,feb 1,ze roberto,bayern munich,hamburg,undisclosed
feb 1,eidur gudjohnsen,barcelona,monaco,undisclosed,feb 2
robbie keane,attacker,tottenham,glasgow celtic,loan,feb 1
junmin hao,midfielder,tianjin teda,schalke,undisclosed,feb 1
sandro wagner,attacker,duisburg,werder bremen,undisclosed,feb 1
arouna kone,attacker,sevilla,hannover,loan,feb 1
geremi,midfielder,newcastle,ankaragucu ,undisclosed,feb 1
diomansy kamara,attacker,fulham,glasgow celtic,loan,feb 1
edson braafheid,defender,glasgow celtic,bayern munich,loan,jan 30
zoran tosic,midfielder,manchester united,cologne,loan,jan 25
ruud van nistelrooy,attacker,real madrid,hamburg,undisclosed,jan 21
eintracht frankfurt ,midfielder,houston dynamo,eint.frankfurt,loan,jan 21
thomas rogne ,defender,stabaek,glasgow celtic,undisclosed,jan 21
colin k. richards ,attacker,fenerbahce,toulouse,loan,jan 19
lucas neill,defender,everton,galatasaray,"800,000",jan 19
jan simak,midfielder,stuttgart,mainz,undisclosed,jan 15
juan gonzalo lorca,attacker,colo colo,boulogne,"400,000",jan 14
dejan lovren,defender,dynamo zagreb,lyon,undisclosed,jan 12
tomas pekhart ,attacker,tottenham,fk jablonec,undisclosed,jan 11
philip haglund,midfielder,brommapojkarna,heerenveen,1million,jan 11
jos hooiveld ,defender,aik,glasgow celtic,2million,jan 10
chavdar yankov,midfielder,hannover 96,metallurg donetsk,undisclosed,jan 10
adam szalai ,attacker,real madrid,mainz,loan,jan 10
andriy voronin,attacker,liverpool,dinamo moscow,undisclosed,jan 9
didier digard,midfielder,middlesbrough,nice,loan,jan 9
olivier kapo,midfielder,wigan athletic,boulogne,loan,jan 9
douglas costa,midfielder,gremio,shakhtar donetsk,6.5millon,jan 7
freddy adu,attacker,benfica,aris salonika,loan,jan 5
andreas ottl,midfielder,bayern munich,fc nurnberg,loan,jan 5
cristian molinaro ,defender,juventus,stuttgart,loan,jan 5
edu ,attacker,s. s. bluewings,schalke,undisclosed,jan 5
brazil,defender,bayern munich,fc nurnberg,loan,jan 5
