transfer date,player name,position,from,to,price
jan 31,heurelho gomes,goalkeeper,tottenham,hoffenheim,loan
jan 31,alexandru maxim,midfielder,pandurii,stuttgart,undisclosed
jan 31,somen tchoyi,midfielder,west bromwich,augsburg,0
jan 30,igor de camargo,attacker,bor. mgladbach,hoffenheim,loan
jan 30,mu kanazaki,midfielder,nagoya,nurnberg,0
jan 30,srdjan lakic,attacker,wolfsburg,eintracht,loan
jan 30,michel bastos,midfielder,lyon,schalke,loan
jan 27,niki zimling,midfielder,club brugge,mainz,3000000
jan 26,afriyie acquah,midfielder,palermo,hoffenheim,2500000
jan 26,eugen polanski,midfielder,mainz,hoffenheim,undisclosed
jan 25,federico macheda,attacker,manchester utd,stuttgart,loan
jan 23,sebastien pocognoli,defender,standard liege,hannover,undisclosed
jan 23,felipe lopes,defender,wolfsburg,stuttgart,loan
jan 22,david abraham,defender,getafe,hoffenheim,4000000
jan 16,raffael,attacker,dynamo kiev,schalke,loan
jan 14,franca,midfielder,coritiba,hannover,1300000
jan 12,nuri sahin,midfielder,real madrid,bor. dortmund,loan
jan 9,andre hoffmann,midfielder,duisburg,hannover,"800,000"
jan 7,ivan perisic,midfielder,bor. dortmund,wolfsburg,7500000
jan 6,luis advincula,defender,tavriya,hoffenheim,undisclosed
jan 5,johan djourou,defender,arsenal,hannover,loan
jan 2,ji dong-won,attacker,sunderland,augsburg,loan
dec 30,mateo pavlovic,defender,nk zagreb,werder bremen,1500000
dec 30,nikola djurdjic,attacker,haugesund,greuther furth,1000000
dec 30,arkadiusz milik,attacker,gornik zabrze,bayer leverkusen,3500000
sep 4,milan badelj,midfielder,dinamo zagreb,hamburg,4099999
aug 31,ibrahim afellay,midfielder,barcelona,schalke,loan
aug 31,rafael van der vaart,midfielder,tottenham,hamburg,13000000
aug 30,javi martinez,midfielder,athletic bilbao,bayern munich,40000000
aug 30,michael rensing,goalkeeper,koln,bayer leverkusen,0
aug 28,adrian mutu,attacker,cesena,ajaccio,0
aug 28,petr jiracek,midfielder,wolfsburg,hamburg,4000000
aug 22,joseph akpala,attacker,club brugge,werder bremen,2500000
aug 10,paul scharner,midfielder,west bromwich,hamburg,0
aug 8,joselu,attacker,real madrid,hoffenheim,undisclosed
aug 2,kevin de bruyne,midfielder,chelsea,werder bremen,loan
jul 25,fagner,defender,vasco da gama,wolfsburg,4000000
jul 24,szabolcs huszti,midfielder,zenit,hannover,undisclosed
jul 23,vadim demidov,defender,real sociedad,eintracht,undisclosed
jul 19,naldo,defender,werder bremen,wolfsburg,undisclosed
jul 18,luuk de jong,attacker,twente,bor. mgladbach,15000000
jul 10,dani carvajal,defender,real madrid,bayer leverkusen,5000000
jul 10,eljero elia,midfielder,juventus,werder bremen,5500000
jul 9,tim hoogland,defender,schalke,stuttgart,loan
jul 7,junior fernandes,attacker,universidad de chile,bayer leverkusen,undisclosed
jul 6,filip malbasic,attacker,rad,hoffenheim,undisclosed
jul 3,tranquillo barnetta,midfielder,bayer leverkusen,schalke,0
jun 30,nils petersen,attacker,bayern munich,werder bremen,loan
jun 29,adrian nikci,midfielder,fc zurich,hannover,"600,000"
jun 28,mario mandzukic,attacker,wolfsburg,bayern munich,13000000
jun 27,alvaro dominguez,defender,atletico madrid,bor. mgladbach,8000000
jun 23,theodor gebre selassie,defender,slovan,werder bremen,2000000
jun 22,julian schieber,attacker,stuttgart,bor. dortmund,5500000
jun 20,matthieu delpierre,defender,stuttgart,hoffenheim,0
jun 20,takashi usami,attacker,gamba osaka,hoffenheim,loan
jun 20,eren derdiyok,attacker,bayer leverkusen,hoffenheim,undisclosed
jun 20,tim wiese,goalkeeper,werder bremen,hoffenheim,0
jun 20,emanuel pogatetz,defender,hannover,wolfsburg,2300000
jun 20,felipe martins,defender,standard liege,hannover,2200000
jun 13,abdul rahman baba,defender,asante kotoko,greuter furth,undisclosed
jun 13,hiroki sakai,defender,kashiwa reysol,hannover,undisclosed
jun 10,kevin pannewitz,midfielder,hansa rostock,wolfsburg,undisclosed
jun 8,cha du-ri,defender,celtic,fortuna,0
jun 7,tunay torun,attacker,hertha,stuttgart,0
jun 7,bas dost,attacker,heerenveen,wolfsburg,8000000
jun 6,marco reus,attacker,bor. mgladbach,bor. dortmund,17100000
jun 6,granit xhaka,midfielder,basel,bor. mgladbach,8500000
jun 6,philipp wollscheid,defender,nurnberg,bayer leverkusen,7000000
jun 6,leonardo bittencourt,midfielder,energie cottbus,bor. dortmund,3000000
jun 6,peniel mlapa,attacker,hoffenheim,bor. mgladbach,3000000
jun 6,xherdan shaqiri,midfielder,basel,bayern munich,12000000
jun 6,claudio pizarro,attacker,werder bremen,bayern munich,0
jun 6,tom starke,goalkeeper,hoffenheim,bayern munich,undisclosed
jun 6,dante,defender,bor. mgladbach,bayern munich,4700000
jun 6,mitchell weiser,midfielder,koln,bayern munich,"500,000"
jun 6,roman neustadter,midfielder,bor. mgladbach,schalke,0
