transfer date,player name,position,from,to,price
feb 1,* david sugar,bellinzona,roma,loan,feb 1
nicola amoruso,torino,reggina,undisclosed,feb 1,bernardo corradi
manchester city,reggina,free,feb 1,* michel morganella,basel
palermo,undisclosed,feb 1,john arne riise,liverpool,roma
4.75million,feb 1,julio baptista,real madrid,roma,9000000
feb 1,* souleymane diamoutene,lecce,roma,loan,feb 1
mirko vucinic,lecce,roma,12million,feb 1,* marco motta
udinese,roma,loan,feb 1,marco amelia,livorno
palermo,6.5million,feb 1,* francesco sabatucci,cisco roma,palermo
loan,feb 1,manuele blasi,juventus,napoli,undisclosed
feb 1,* jesús dátolo,boca juniors,napoli,undisclosed,feb 1
german denis,independiente,napoli,11.4million,feb 1,christian maggio
sampdoria,napoli,undisclosed,feb 1,tomas costa,rosario central
napoli,5million,feb 1,* abel hernandez,penarol,palermo
undisclosed,feb 1,fabio liverani,fiorentina,palermo,undisclosed
feb 1,* eros pellegrini,treviso,palermo,loan,feb 1
antonio nocerino,juventus,palermo,7.4million,feb 1,antonio cassano
real madrid,sampdoria,undisclosed,feb 1,* fabio zamblera,newcastle
sampdoria,loan,feb 1,* emanuele belardi,juventus,udinese
undisclosed,feb 1,* andrea zamuner,venezia,udinese,loan
feb 1,* stefano procida,napoli,torino,undisclosed,feb 1
rolando bianchi,manchester city,torino,undisclosed,feb 1,luigi sala
sampdoria,udinese,free,feb 1,niki zimling,esbjerg
udinese,undisclosed,feb 1,* sakari mattila,hjk helsinki,udinese
undisclosed,feb 1,* ricardo villar,cesena,udinese,undisclosed
feb 1,* ricardo chara,udinese,loan,feb 1,* claudio rivalta
atalanta,torino,undisclosed,feb 1,blerim dzemaili,bolton
torino,loan,feb 1,* michele ferri,cagliari,sampdoria
undisclosed,feb 1,* manuel da costa,fiorentina,sampdoria,loan
feb 1,jonathan pablo bottinelli,san lorenzon,sampdoria,undisclosed,feb 1
* giampaolo pazzini,fiorentina,sampdoria,8million,feb 1,* roberto soriano
bayern munich,sampdoria,undisclosed,feb 1,* vasco regini,cesena
sampdoria,loan,feb 1,* andrea gasbarroni,genoa,torino
loan,feb 1,* nicola amoruso,torino,siena,loan
feb 1,cosmin moti,dinamo bucharest,siena,loan,feb 1
* papa waigo,fiorentina,lecce,loan,feb 1,* jorge ortega
tacuary,lecce,loan,feb 1,* giuseppe colucci,catania
chievo,undisclosed,feb 1,* gennaro sardo,catania,chievo
loan,feb 1,pablo ledesma,boca juniors,catania,undisclosed
feb 1,nicolae dica,steaua bucharest,catania,2million,feb 1
kerlon,cruzeiro,chievo,undisclosed,feb 1,* stephen makinwa
lazio,chievo,loan,feb 1,gianluca comotto,torino
fiorentina,undisclosed,feb 1,felipe melo,almeria,fiorentina
15million,feb 1,alberto gilardino,ac milan,fiorentina,13000000
feb 1,* alessandro potenza,genoa,catania,undisclosed,feb 1
* pablo osvaldo,fiorentina,bologna,undisclosed,feb 1,ronaldinho
fc barcelona,ac milan,21million,feb 1,mathieu flamini,arsenal
ac milan,free,feb 1,gianluca zambrotta,fc barcelona,ac milan
9million,feb 1,* david beckham,la galaxy,ac milan,loan
feb 1,gyorgy garics,napoli,atalanta,loan,feb 1
* francesco parravicini,parma,atalanta,loan,feb 1,* massimo mutarelli
lazio,bologna,free,feb 1,marco di vaio,genoa
bologna,loan,feb 1,* gianvito plasmati,catania,atalanta
loan,feb 1,jefferson,parana,fiorentina,undisclosed
feb 1,juan manuel vargas,catania,fiorentina,undisclosed,feb 1
david rozehnal,newcastle,lazio,undisclosed,feb 1,olof mellberg
aston villa,juventus,free,feb 1,* mario kirev,slavia sofia
juventus,undisclosed,feb 1,falque silva yago,barcelona,juventus
undisclosed,feb 1,juan pablo carrizo,river plate,lazio,8000000
feb 1,matuzalem,real zaragoza,lazio,loan,feb 1
eduardo costa,espanyol,lecce,undisclosed,feb 1,* lecce
porto alegre,lecce,undisclosed,feb 1,dusan basta,red star belgrade
lecce,undisclosed,feb 1,christian poulsen,sevilla,juventus
7.5million,feb 1,alex manninger,siena,juventus,undisclosed
feb 1,matteo ferrari,roma,genoa,free,feb 1
diego milito,real zaragoza,genoa,7.5million,feb 1,stevan jovetic
partizan belgrade,fiorentina,8million,feb 1,marco storari,ac milan
fiorentina,loan,feb 1,mancini,roma,inter milan
13million,feb 1,ricardo quaresma,porto,inter milan,18500000
feb 1,amauri,palermo,juventus,22.7million,feb 1
* antonio chimenti,udinese,juventus,undisclosed,feb 1,sulley muntari
portsmouth,inter milan,17.7million,feb 1,andriy shevchenko,chelsea
