transfer date,player name,position,from,to,price
feb 1,j. d. job,sedan,nice,n/a,feb 1
l. bonnart,le mans,marseille,n/a,feb 1,g. givet
monaco,marseille,n/a,feb 1,d. kovacevic,r. sociedad
olympiakos,n/a,feb 1,t. l. lua lua,portsmouth,olympiakos
n/a,feb 1,amdy faye,charlton,rangers,loan
feb 1,z. camara,st etienne,paris sg,6000000,feb 1
d. cisse,liverpool,marseille,n/a,feb 1,b. zenden
liverpool,marseille,free,feb 1,f. grosso,inter
lyon,n/a,feb 1,c. anderson,benfica,lyon
4000000,feb 1,j-a boumsong,juventus,lyon,n/a
feb 1,marc crosas,barcelona,lyon,loan,feb 1
b. cheyrou,auxerre,marseille,n/a,feb 1,m. zidan
w bremen,mainz,2500000,feb 1,c. cuellar,osasuna
rangers,n/a,feb 1,c. dailly,west ham,rangers
loan,feb 1,m. concha,djurgarden,vfl bochum,n/a
feb 1,j. lastuvka,s. donetsk,vfl bochum,loan,feb 1
m. pfertzel,livorno,vfl bochum,500000,feb 1,grafite
le mans,wolfsburg,8000000,feb 1,r. costa,porto
wolfsburg,4000000,feb 1,marcelinho,trabzonspor,wolfsburg
2750000,feb 1,f. sebo,rangers,valenciennes,loan
feb 1,m. lopez,barcelona,sporting lisbon,loan,feb 1
n. alexander,ipswich,rangers,n/a,feb 1,d. beasley
psv,rangers,n/a,feb 1,r. carroll,west ham
rangers,free,feb 1,s. naismith,kilmarnock,rangers
n/a,feb 1,i. rakitic,fc basel,shalke,n/a
feb 1,s. wiltord,lyon,rennes,1500000,feb 1
antonio geder,spart. moscow,le mans,n/a,feb 1,f. screpis
pescara,hearts,n/a,feb 1,tim borowski,w. bremen
bayern munich,n/a,feb 1,m. klose,w. bremen,bayern munich
15000000,feb 1,l. toni,fiorentina,bayern munich,13000000
feb 1,ze roberto,santos,bayern munich,n/a,feb 1
f. adu,r. salt lake,benfica,n/a,feb 1,b. hutchinson
middlesbrough,celtic,330000,feb 1,luis filipe,braga
benfica,1500000,feb 1,j. ernesto sosa,estudiantes,bayern munich
10000000,feb 1,frank ribery,marseille,bayern munich,25000000
feb 1,i. urzaiz,a. bilbao,ajax,free,feb 1
d. rommedahl,charlton,ajax,1000000,feb 1,s. kuffour
roma,ajax,free,feb 1,r. kovac,juventus
b. dortmund,n/a,feb 1,breno,sao paulo,bayern munich
12300000,feb 1,r. faty,roma,b. leverkusen,loan
feb 1,g. samaras,manchester c.,celtic,loan,feb 1
k. mizuno,jef united,celtic,free,feb 1,odjidja-ofoe
anderlecht,hamburg,n/a,feb 1,t. linderoth,copenhagen
galatasaray,n/a,feb 1,anton putsilo,dyn. moscow,hamburg sv
loan,feb 1,ivica olic,cska moscow,hamburg sv,2000000
feb 1,d. giminez,n. chicago,hearts,n/a,feb 1
r. castelen,feyenoord,hamburg sv,3000000,feb 1,lincoln
schalke 04,galatasaray,5000000,feb 1,a. barusso,roma
galatasaray,loan,feb 1,m. donati,milan,celtic
4500000,feb 1,l. santonocito,inter,celtic,n/a
feb 1,m. fenin,fk teplice,ein. frankfurt,4500000,feb 1
maxi lopez,barcelona,fc moscow,2000000,feb 1,n. sahin
b. dortmund,feyenoord,loan,feb 1,r. carlos,real madrid
fenerbache,n/a,feb 1,albert luque,newcastle,ajax
