transfer date,player name,position,from,to,price
feb 3,stuart armstrong,midfielder,dundee utd,celtic,2100000
feb 3,hernani,midfielder,vitoria guimaraes,porto,undisclosed
feb 3,lucas ocampos,midfielder,monaco,marseille,loan
feb 3,rolando,defender,porto,anderlecht,loan
feb 3,gary mackay-steven,midfielder,dundee utd,celtic,"330,000"
feb 2,antunes,defender,malaga,dynamo kiev,undisclosed
feb 1,alain traore,midfielder,lorient,monaco,loan
jan 31,matheus,attacker,fluminense,monaco,loan
jan 30,clement chantome,midfielder,psg,bordeaux,"750,000"
jan 29,hugo almeida,attacker,cesena,kuban krasnodar,0
jan 29,jonathan rodriguez,attacker,penarol,benfica,loan
jan 24,ewerton santos,defender,anzhi,sporting lisbon,loan
jan 24,florian sotoca,attacker,beziers,montpellier,undisclosed
jan 24,dany nounkeu,defender,galatasaray,evian,loan
jan 24,landry nguemo,midfielder,bordeaux,saint etienne,0
jan 22,isaac thelin,attacker,malmo,bordeaux,3500000
jan 22,daniel opare,defender,porto,besiktas,loan
jan 21,marko marin,midfielder,chelsea,anderlecht,loan
jan 21,bernardo silva,midfielder,benfica,monaco,15750000
jan 18,maxwel cornet,attacker,metz,lyon,"400,000"
jan 17,nicolas blandi,attacker,san lorenzo,evian,loan
jan 16,hany mukhtar,midfielder,hertha,benfica,"500,000"
jan 15,gianni bruno,attacker,evian,lorient,loan
jan 14,roman shirokov,midfielder,spartak moscow,fk krasnodar,loan
jan 10,sofiane boufal,midfielder,angers,lille,undisclosed
jan 8,ermir lenjani,defender,st gallen,rennes,undisclosed
jan 6,hatem ben arfa,midfielder,newcastle,nice,0
jan 4,didier ndong,midfielder,cs sfaxien,lorient,1000000
jan 4,janis ikaunieks,midfielder,fk liepajas,metz,undisclosed
sep 13,florent malouda,midfielder,trabzonspor,metz,0
sep 13,jonas,attacker,valencia,benfica,0
sep 10,florian marange,defender,sochaux,bastia,0
sep 8,davide petrucci,midfielder,manchester utd,cluj,0
sep 5,john guidetti,attacker,manchester city,celtic,loan
sep 3,nicolas isimat-mirin,defender,monaco,psv,loan
sep 2,jose campana,midfielder,sampdoria,porto,loan
sep 2,michael frey,attacker,young boys,lille,3000000
sep 1,goran pandev,attacker,napoli,galatasaray,2400000
sep 1,majeed waris,attacker,spartak moscow,trabzonspor,undisclosed
sep 1,karim el ahmadi,midfielder,aston villa,feyenoord,undisclosed
sep 1,ryo miyaichi,midfielder,arsenal,twente,loan
sep 1,otavio,midfielder,internacional,porto,7000000
sep 1,doria,defender,botafogo,marseille,10000000
sep 1,stefan scepovic,attacker,sporting gijon,celtic,3000000
aug 31,daniel agger,defender,liverpool,brondby,3800000
aug 31,kostas mitroglou,attacker,fulham,olympiakos,loan
aug 31,blerim dzemaili,midfielder,napoli,galatasaray,2350000
aug 30,milos ninkovic,midfielder,red star,evian,0
aug 30,tomas hubocan,defender,zenit,dynamo moscow,undisclosed
aug 29,sergei krivets,midfielder,bate borisov,metz,undisclosed
aug 29,hadi sacko,midfielder,bordeaux,sporting lisbon,1400000
aug 28,fallou diagne,defender,freiburg,rennes,undisclosed
aug 28,alassane plea,midfielder,lyon,nice,"500,000"
aug 28,andres guardado,midfielder,valencia,psv,loan
aug 27,wakaso mubarak,midfielder,rubin kazan,celtic,loan
aug 27,modibo maiga,attacker,west ham,metz,loan
aug 24,vincent aboubakar,attacker,lorient,porto,10000000
aug 23,andreas samaris,midfielder,olympiakos,benfica,10000000
aug 20,julio cesar,goalkeeper,qpr,benfica,0
aug 20,diego contento,defender,bayern munich,bordeaux,undisclosed
aug 20,kevin theophile-catherine,defender,cardiff,saint etienne,loan
aug 20,nani,midfielder,manchester utd,sporting lisbon,loan
aug 19,josh mceachran,midfielder,chelsea,vitesse,loan
aug 19,tiago ilori,defender,liverpool,bordeaux,loan
aug 16,abdelaziz barrada,midfielder,al jazira,marseille ,undisclosed
aug 15,javi garcia,midfielder,manchester city,zenit,16200000
aug 14,steven defour,midfielder,porto,anderlecht,6000000
aug 13,colin kazim-richards,attacker,bursaspor,feyenoord,loan
aug 12,ivan marcano,defender,olympiakos,porto,undisclosed
aug 12,lucas barrios,attacker,spartak moscow,montpellier,loan
aug 12,aleksandar tonev,attacker,aston villa,celtic,loan
aug 11,alberto botia,defender,sevilla,olympiakos,undisclosed
