transfer date,player name,position,from,to,price
jan 31,filip jagiello,midfielder,zaglebie lubin,genoa,1100000
jan 31,vasco regini,defender,sampdoria,spal,loan
jan 31,romulo,midfielder,genoa,lazio,loan
jan 31,cristian dell'orco,defender,sassuolo,empoli,loan
jan 31,lyanco,defender,torino,bologna,loan
jan 31,simone edera,attacker,torino,bologna,loan
jan 31,kevin diks,defender,fiorentina,empoli,loan
jan 31,andrea fulignati,goalkeeper,ascoli,spal,loan
jan 31,marko pajac,defender,cagliari,empoli,loan
jan 31,diego farias,attacker,cagliari,empoli,loan
jan 31,marco andreolli,defender,cagliari,chievo verona,undisclosed
jan 31,luca pellegrini,defender,as roma,cagliari,loan
jan 31,marko jankovic,attacker,partizan,spal,1600000
jan 31,dimitri oberlin,attacker,fc basel,empoli,loan
jan 31,ben wilmot,defender,watford,udinese,loan
jan 31,nicolas schiapacasse,attacker,atletico madrid,parma,loan
jan 31,cyril thereau,attacker,fiorentina,cagliari,loan
jan 31,lucas piazon,midfielder,chelsea,chievo verona,loan
jan 31,marco sau,attacker,cagliari,sampdoria,undisclosed
jan 31,fabrizio cacciatore,defender,chievo verona,cagliari,loan
jan 31,ivan radovanovic,midfielder,chievo verona,genoa,3600000
jan 31,sandro,midfielder,genoa,udinese,loan
jan 30,merih demiral,defender,alanyaspor,sassuolo,loan
jan 30,alessandro murgia,midfielder,lazio,spal,loan
jan 30,kiril despodov,attacker,cska sofia,cagliari,3800000
jan 29,assana diousse,midfielder,st. etienne,chievo verona,loan
jan 29,ibanez,defender,fluminense,atalanta,undisclosed
jan 29,martin caceres,defender,lazio,juventus,loan
jan 29,lukas lerager,midfielder,bordeaux,genoa,loan
jan 29,andrew gravillon,defender,pescara,inter milan,6750000
jan 28,ezequiel schelotto,defender,brighton,chievo,loan
jan 28,szymon zurkowski,midfielder,gornik zabrze,fiorentina,3300000
jan 28,dimitrios nikolaou,defender,olympiacos,empoli,loan
jan 26,antonio sanabria,attacker,real betis,genoa,loan
jan 26,cedric soares,defender,southampton,inter milan,loan
jan 25,stefan simic,defender,ac milan,frosinone,loan
jan 25,sebastien de maio,defender,bologna,udinese,loan
jan 25,marcello trotta,attacker,sassuolo,frosinone,undisclosed
jan 25,abdou diakhate,midfielder,fiorentina,parma,undisclosed
jan 25,christian oliva,midfielder,nacional,cagliari,loan
jan 24,jandrei,goalkeeper,chapecoense,genoa,2160000
jan 24,stefano sturaro,midfielder,juventus,genoa,loan
jan 24,federico viviani,midfielder,spal,frosinone,loan
jan 23,krzysztof piatek,attacker,genoa,ac milan,35000000
jan 22,bartlomiej dragowski,goalkeeper,fiorentina,empoli,loan
jan 22,pietro terracciano,goalkeeper,empoli,fiorentina,loan
jan 19,filip bradaric,midfielder,rijeka,cagliari,4500000
jan 19,giuseppe pezzella,defender,udinese,genoa,loan
jan 16,hamed junior traore,midfielder,fiorentina,empoli,loan
jan 15,juraj kucka,midfielder,trabzonspor,parma,undisclosed
jan 15,hamed junior traore,midfielder,empoli,fiorentina,10800000
jan 14,giuseppe pezzella,defender,udinese,genoa,loan
jan 11,manolo gabbiadini,attacker,southampton,sampdoria,12000000
jan 10,walter birsa,midfielder,genoa,chievo verona,undisclosed
jan 10,marvin zeegelaar,defender,watford,udinese,loan
jan 8,stefano okaka,attacker,watford,udinese,loan
jan 8,luca valzania,midfielder,atalanta,frosinone,loan
jan 7,emiliano viviano,goalkeeper,sporting lisbon,spal,loan
jan 7,jandrei,goalkeeper,chapecoense,genoa,undisclosed
jan 4,stefano okaka,attacker,watford,udinese,loan
jan 4,nicola sansone,attacker,villarreal,bologna,loan
jan 4,roberto soriano,midfielder,villarreal,bologna,loan
jan 3,luis muriel,attacker,sevilla,fiorentina,loan
jan 3,lucas paquetá,midfielder,flamengo,ac milan,31500000
aug 20,simone zaza,attacker,valencia,torino,loan
aug 20,stephy mavididi,attacker,arsenal,juventus,undisclosed
aug 17,marco capuano,defender,cagliari,frosinone,"900,000"
aug 17,salih ucan,midfielder,fenerbahce,empoli,loan
aug 17,emiliano rigoni,midfielder,zenit,atalanta,loan
aug 17,lorenzo tonelli,defender,napoli,sampdoria,loan
aug 17,gervinho,attacker,hebei china fortune,parma,0
aug 17,roberto soriano,attacker,villarreal,torino,loan
aug 17,gianluca lapadula,attacker,ac milan,genoa,undisclosed
aug 17,samu castillejo,attacker,villarreal,ac milan,undisclosed
aug 17,diego laxalt,midfielder,genoa,ac milan,undisclosed
aug 17,koffi djidji,defender,nantes,torino,loan
aug 17,joel campbell,attacker,arsenal,frosinone,undisclosed
aug 17,afriyie acquah,midfielder,torino,empoli,"900,000"
aug 17,francesco cassata,midfielder,sassuolo,frosinone,loan
aug 17,lukasz teodorczyk,attacker,anderlecht,udinese,6300000
aug 17,marco d'alessandro,attacker,atalanta,udinese,loan
aug 17,alessandro deiola,midfielder,cagliari,parma,loan
aug 17,joaquin ardaiz,attacker,fc chiasso,frosinone,loan
aug 17,simone missiroli,midfielder,sassuolo,spal,2250000
aug 17,andrea pinamonti,attacker,inter milan,frosinone,loan
aug 17,ali adnan,defender,udinese,atalanta,loan
aug 17,riccardo saponara,midfielder,fiorentina,sampdoria,loan
aug 17,simone zaza,attacker,valencia,torino,loan
aug 17,ragnar klavan,defender,liverpool,cagliari,1170000
aug 16,danilo,defender,udinese,bologna,loan
aug 16,francesco zampano,defender,pescara,frosinone,loan
aug 16,david ospina,goalkeeper,arsenal,napoli,loan
aug 16,mirko voldifori,midfielder,torino,spal,"900,000"
aug 16,marlon,defender,fc barcelona,sassuolo,5400000
aug 16,kevin bonifazi,defender,torino,spal,loan
aug 15,william troost-ekong,defender,bursaspor,udinese,2970000
aug 14,tiemoue bakayoko,midfielder,chelsea,ac milan,loan
aug 14,ola aina,defender,chelsea,torino,loan
