transfer date,player name,position,from,to,price
feb 2,pascal feindouno,attacker,from al-sadd,monaco,undisclosed
feb 2,roman bednar,attacker,ankaragucu ,west bromwich,loan
feb 2,nacer barazite ,midfielder,arsenal,austria wien,undisclosed
feb 1,ryo miyaichi,attacker,arsenal,feyenoord,loan
jan 31,shinji okazaki,midfielder, shimizu s-pulse,stuttgart,0
jan 31,david healy,attacker,sunderland,rangers,undisclosed
jan 31,angelos charisteas,attacker, arles-avignon ,schalke,0
jan 31,bony wilfried,attacker,sparta prague,vitesse arnhem,4099999
jan 31,koo ja-cheol,midfielder,jeju united,wolfsburg,undisclosed
jan 31,gilles sunu,attacker,arsenal,lorient,loan
jan 31,andre,attacker,dynamo kiev,bordeaux ,loan
jan 31,wolfsburg,attacker,stoke city,wolfsburg,5800000
jan 31,kyle bartley,defender,arsenal,rangers,loan
jan 31,jakub divis ,goalkeeper,presov,hibernian,loan
jan 30,montpellier,attacker,portsmouth,montpellier,undisclosed
jan 29,mahamadou diarra,midfielder,real madrid,monaco ,undisclosed
jan 29,gregory lacombe,midfielder,montpellier,monaco,loan
jan 29, edson braafheid,defender,bayern munich,hoffenheim,undisclosed
jan 29,anthony annan ,midfielder,rosenborg,schalke,2000000
jan 28,kris commons,midfielder,derby,celtic,"350,000"
jan 27,willy aubameyang,midfielder,ac milan,kilmarnock ,0
jan 26,john verhoek,attacker,den haag,rennes,"500,000"
jan 25,marco ramos,defender,lens,braga,undisclosed
jan 25,ryan babel,attacker,liverpool,hoffenheim,7000000
jan 25,viktor elm,attacker,fulham,elfsborg,undisclosed
jan 25,krisztian simon ,midfielder,ujpest fc,feyenoord,loan
jan 24,danilio f. avelar ,midfielder,karpaty lviv,schalke,loan
jan 19,jos hooiveld,defender,celtic,fc copenhagen,loan
jan 18,kevin volland,attacker,munich 1860,hoffenheim,"500,000"
jan 14,fredrik stoor,defender,fulham,valerengen,undisclosed
jan 14,billy berntsson,defender,gif sundsvall,kilmarnock ,0
jan 14,benjamin laurant,midfielder,le havre,kilmarnock ,0
jan 13,gill swerts,defender,az alkmaar,feyenoord,loan
jan 12,oguchi onyewu,defender,ac milan,fc twente,loan
jan 7,david alaba,midfielder,bayern munich,hoffenheim,loan
jan 7,luiz gustavo,defender,hoffenheim,bayern munich,15000000
jan 6,c. kazim-richards,attacker,fenerbahce,galatasaray,undisclosed
jan 4,razak boukari,attacker,lens,rennes,5000000
jan 4,jules goda,goalkeeper,bastia,marseille,0
jan 4,jung jo-gook,attacker,fc seoul,auxerre,0
jan 3,denni avdic,attacker,elfsborg,werder bremen,2800000
dec 31,rod fanni,defender,rennes,marseille,undisclosed
dec 30,martin stranzl,defender,spartak moscow,bor. mgladbach,undisclosed
dec 30,havard nordtveit,defender,arsenal,bor. mgladbach,undisclosed
dec 30,fredrik ljungberg,midfielder,chicago fire,celtic,0
dec 29,hajime hosogai,midfielder,urawa rd,bayer leverkusen,undisclosed
dec 29,nikola saric,attacker,liverpool,vitesse arnhem,loan
dec 29,roberto firmino,midfielder,figueirense ,hoffenheim,4000000
dec 29,david bellion,attacker,bordeaux,nice,loan
dec 29,simao,midfielder,atletico madrid,besiktas,7000000
dec 29,hugo almeida,attacker,werder bremen,besiktas,2000000
sep 2, timo hildebrand ,goalkeeper,hoffenheim,sporting lisbon,0
sep 1,zvjezdan misimovic ,midfielder,wolfsburg,galatasaray,undisclosed
sep 1,damien plessis,attacker,liverpool,panathinaikos,undisclosed
sep 1,maceo rigters,attacker,blackburn,willem ii,loan
sep 1,nacer barazite,defender,arsenal,vitesse arnhem,loan
sep 1,nabil el zhar,midfielder,liverpool,panathinaikos,loan
sep 1,antonio da silva ,midfielder,karlsruhe ,bor. dortmund,0
sep 1,joseph yobo ,defender,everton,fenerbahce,loan
sep 1,david rozehnal,defender,hamburg,lille,loan
sep 1,matej delac ,goalkeeper,chelsea,vitesse arnhem,loan
sep 1,salvatore bocchetti ,defender,genoa,rubin kazan,10000000
aug 31,klaas-jan huntelaar,attacker,ac milan,schalke,13000000
aug 31,anthony stokes,attacker,hibernian ,celtic,undisclosed
aug 31,mamadou bah,midfielder,strasbourg,stuttgart ,"600,000"
aug 31,pape diakhate,defender,dynamo kiev,lyon,loan
aug 31,nicolas plestan ,defender,lille,schalke,undisclosed
aug 31,gylfi sigurdsson,midfielder,reading,hoffenheim,7300000
aug 31, mauro camoranesi ,midfielder,juventus,stuttgart,undisclosed
aug 31,manuel jurado,midfielder,atletico madrid,schalke,13000000
aug 31,emiliano insua ,defender,liverpool,galatasaray,loan
aug 31,richard foster ,defender,aberdeen,rangers,loan
aug 31,liam boyce,attacker,cliftonville,werder bremen,undisclosed
aug 31,teemu tainio,midfielder,sunderland,ajax,0
aug 31,siaka tiene ,defender,valenciennes ,paris s-g,1000000
aug 30, yoann gourcuff,midfielder,lyon,bordeaux,22000000
aug 30,wilfred bouma,defender,aston villa,psv,0
aug 30,kishi yano,attacker,albirex niigata,freiburg,undisclosed
aug 30,ben khalfallah,midfielder,valenciennes,bordeaux,undisclosed
aug 30,anton putsilo,midfielder,hamburg,freiburg,undisclosed
aug 30, mikael silvestre ,defender,arsenal,werder bremen,0
aug 30,jan vennegoor ,attacker,hull city,rapid vienna,0
aug 29,zlatan ibrahimovic,attacker,barcelona,ac milan,loan
aug 27,diego,midfielder,juventus,wolfsburg,15000000
aug 27,hans sarpei,defender,bayer leverkusen,schalke,undisclosed
aug 26,ismail aissati,midfielder,ajax,vitesse arnhem,loan
aug 26,moussa maazou ,attacker,cska moscow,bordeaux,loan
