transfer date,player name,position,from,to,price
aug 16,samson kayode ,attacker,atletico madrid,braga,loan
aug 15,nelson valdez ,attacker,hercules,rubin kazan,5000000
aug 15,fabien lemoine ,midfielder,rennes,st etienne,undisclosed
aug 11,nikola kalinic,attacker,blackburn,dnipro ,undisclosed
aug 10,bernd leno,goalkeeper,stuttgart,bayer leverkusen,loan
aug 8,kalu uche ,midfielder,almeria,xamax,4000000
aug 6,javier pastore ,attacker,palermo,psg,40000000
aug 6,yuri zhirkov,midfielder,chelsea,anzhi ,undisclosed
aug 6,milan jovanovic,midfielder,liverpool,anderlecht,undisclosed
aug 5,kyle bartley ,defender,arsenal,rangers,loan
aug 4,jonathan zebina,defender,brescia,brest,0
aug 2,koen casteels ,goalkeeper,genk,hoffenheim,undisclosed
aug 2,roberto fernandez,goalkeeper,atenas,fc utrecht,loan
jul 29,salvatore sirigu,goalkeeper,palerma,psg,undisclosed
jul 29,mohamed sissoko,midfielder,juventus,psg,undisclosed
jul 26,dorin goian,defender,palermo,rangers,undisclosed
jul 25,jeremy menez,attacker,roma,psg,8000000
jul 25,milan bisevac ,defender,valenciennes,psg,undisclosed
jul 25,blaise matuidi ,midfielder,st etienne,psg,7500000
jul 24,marko russ,defender,eintracht frankfurt,wolfsburg,3000000
jul 22,felipe melo ,midfielder,juventus,galatasaray,loan
jul 22,mitja resek,defender,nk maribor,heerenveen ,loan
jul 22,freddy drogba,attacker,le mans,dijon,0
jul 22,nacho gonzalez,midfielder,valencia,standard lieage,0
jul 21,alexander gerndt,attacker,helsingborg,fc utrecht,undisclosed
jul 21,sokratis papastathopoulos,defender,genoa,werder bremen,loan
jul 21,joan capdevila,defender,villarreal,benfica,undisclosed
jul 21,alejandro bedoya,midfielder,orebro,rangers,undisclosed
jul 21,lee wallace,defender,hearts,rangers,1700000
jul 20,chris mavinga ,defender,liverpool,rennes,1000000
jul 20,danilo,midfielder,santos,porto,13000000
jul 20,eidur gudjohnsen,attacker,stoke,aek athen,undisclosed
jul 20,fernando muslera ,goalkeeper,lazio,galatasaray,undisclosed
jul 20,diego capel,midfielder,sevilla,sporting lisbon,4000000
jul 18,malik fathi,defender,spartak moscow,mainz,undisclosed
jul 18,per ciljan skjelbred,midfielder,rosenborg,hamburg,undisclosed
jul 18,eduardo ,goalkeeper,genoa,benifca,loan
jul 18,jozy altidore,attacker,villarreal,az alkmaar,0
jul 18,jerome boateng ,defender,manchester city,bayern munich,undisclosed
jul 15,francisco j. rodriguez ,defender,psv,stuttgart,undisclosed
jul 14,axel witsel,midfielder,standard liege,benfica,undisclosed
jul 13,dale jennings ,attacker,tranmere,bayern munich,undisclosed
jul 13,didier digard,midfielder,middlesbrough,nice ,undisclosed
jul 12,marcus nilsson,defender,helsingborg,fc utrecht,undisclosed
jul 12,adil ramzi ,attacker,umm sala,roda jc,0
jul 10, guillermo ochoa,goalkeeper,america,ajaccio ,undisclosed
jul 9,kris boyd,attacker,middlesbrough,eskisehirspor,undisclosed
jul 7,fantamady diarra,midfielder,stade malien,rennes,undisclosed
jul 7,valeri bojinov,attacker,parma,sporting lisbon,undisclosed
jul 7,thulani serero,midfielder,cape town,ajax,undisclosed
jul 7,younousse sankhare,midfielder,paris s-g,dijon,undisclosed
jul 7,daisuke matsui,midfielder,grenoble,dijon,undisclosed
jul 6,sebastien corchia ,defender,le mans,sochaux,undisclosed
jul 6,juan manuel ortiz,midfielder,almeria,rangers,undisclosed
jul 6,sidney govou,attacker,panathinaikos ,evian,undisclosed
jul 6,demy de zeeuw,midfielder,ajax,spartak moscow,7000000
jul 6,andre bahia,defender,feyenoord,samsunspor,undisclosed
jul 5,kolbeinn sigthorsson ,attacker,az alkmaar,ajax,undisclosed
jul 5,david yelldell ,goalkeeper,duisburg,bayer leverkusen,undisclosed
jul 5,ezequiel garay,defender,real madrid,benfica,undisclosed
jul 5,hasan salihamidzic,midfielder,juventus,wolfsubrg,0
jul 5,gennaro bracigliano,goalkeeper,nancy,olymp. marseille,undisclosed
jul 4,kevin strootman ,midfielder,utrecht,psv,undisclosed
jul 4,dries mertens,midfielder,utrecht,psv,undisclosed
jul 4,georginio wijnaldum,midfielder,feyenoord ,psv,undisclosed
jul 4,andreas wolf,defender,nurnberg,werder bremen,0
jul 4,alou diarra,midfielder,bordeaux,olymp. marseille,undisclosed
jul 4,manuel fernandes,midfielder,valencia,besiktas,2000000
jul 4, dorge kouemaha,attacker,club brugge,kaiserslautern,loan
jul 4,ben sahar,attacker,espanyol,auxerre,loan
jul 3, nadir ciftci,midfielder,portsmouth,fc kayserispor,0
jul 3,suk hyun-jun,attacker,ajax,fc groningen,0
jul 2, nuno gomes ,attacker,benfica,braga,0
jun 30,nicolas n\'koulou,defender,monaco,olymp. marseille,3500000
jun 30,victor wanyama ,midfielder,germinal beerschot,celtic,undisclosed
jun 30,david healy,attacker,sunderland,rangers,0
jun 29,dimitri payet,midfielder,st etienne,lille ,8000000
jun 29,steven mouyokolo,defender,wolverhamption,sochaux,loan
jun 29,anthony ujah,attacker,lillestrom,mainz,undisclosed
jun 29,julian baumgartlinger,midfielder,austria vienna,mainz,undisclosed
jun 28,michael gregoritsch,midfielder,kapfenberger sv,hoffenheim,undisclosed
jun 27,emil johansson,defender,molde,fc groningen,"500,000"
jun 27,radoslav kovac,midfielder,west ham,fc basel,undisclosed
jun 27,domenico criscito,defender,genoa, zenit s-p,undisclosed
jun 27,takashi usami,midfielder,gamba osaka,bayern munich,loan
jun 25,nicolas maurice-belay,midfielder,sochaux,bordeaux,0
jun 24,constantinos fortounis,midfielder,asteras,kaiserslautern,undisclosed
jun 24,marko basa,defender,lok. moscow,lille,undisclosed
jun 23,derek boateng,midfielder,getafe,dnipro ,5900000
jun 23,aleksandar stevanovic ,attacker,schalke,werder bremen,0
jun 23,lukas schmitz,defender,schalke,werder bremen,1000000
jun 21,sebastien roudet ,midfielder,lens,sochaux,0
jun 21,manuel da costa,defender,west ham,lok. moscow,undisclosed
jun 20,victor obinna,attacker,inter milan,lok. moscow,0
jun 20,tomas ujfalusi,defender,atletico madrid,galatasaray ,0
jun 20,jan sebek,goalkeeper,chelsea,fk jablonec,0
jun 19,domagoj vida,defender,bayer leverkusen,dinamo zagreb,undisclosed
jun 19,jeremy morel ,defender,lorient,olymp. marseille,2500000
jun 19,christian pander ,defender,schalke ,hannover,0
jun 17,stijn schaars,midfielder,az alkmaar ,sporting lisbon,"850,000"
jun 17,ivan marcano,defender,villarreal,olympiakos,loan
jun 16,christian grindheim,midfielder, heerenveen,fc copenhagen,"750,000"
jun 16,bebe,attacker,manchester utd,besiktas,loan
jun 16,mateusz klich,midfielder,cracovia ,wolfsburg,1500000
jun 16,garra dembele,attacker,levski sofia,freiburg,undisclosed
jun 16,william kvist,midfielder,fc copenhagen,stuttgart,3500000
jun 14,ronny rodelin,attacker,nantes,lille,undisclosed
jun 14,benoit costil,goalkeeper,sedan,rennes,0
jun 13,balazs dzsudzsak,midfielder,psv,anzhi,14000000
jun 13,kevin gameiro,attacker,lorient,paris s-g,10000000
jun 10,nicolas douchez,goalkeeper,rennes,paris s-g,0
jun 9,ben e basat,attacker,hapoel haifa,brest,0
jun 9,jhon culma,midfielder,maccabi haifa,brest,0
jun 8,morgan amalfitano,midfielder,lorient,olymp. marseille ,0
jun 7,gokhan tore,midfielder,chelsea,hamburg,undisclosed
jun 6,didier zokora ,midfielder,sevilla,trabzonspor,5000000
jun 6,camel meriem,midfielder,arles,nice,0
jun 6,ilkay gundogan,midfielder,nurnberg,bor. dortmund,4000000
jun 6,christian fuchs ,defender,mainz,schalke,5000000
jun 6,ivan perisic,midfielder,club brugge,bor. dortmund,undisclosed
jun 6,mehmet ekici,midfielder,bayern munich,werder bremen,undisclosed
jun 6,sascha molders,attacker,fsv frankfurt,fc augsburg,"125,000"
jun 6,markus feulner,midfielder,bor. dortmund,nurnberg ,"250,000"
jun 4,ricky van wolfswinkel,attacker,fc utrecht,sporting lisbon,6000000
jun 4,jacopo sala,midfielder,chelsea,hamburg,undisclosed
jun 4,nils petersen ,attacker,energie cottbus,bayern munich,2800000
jun 2,manuel neuer,goalkeeper,schalke,bayern munich,undisclosed
jun 2,rafinha,defender,genoa,bayern munich,undisclosed
jun 2,michael mancienne,defender,chelsea,hamburg,undisclosed
jun 1,derk boerrigter,midfielder,waalwijk,ajax,undisclosed
may 31,johan elmander,attacker,bolton,galatasaray,0
