transfer date,player name,position,from,to,price
feb 27,felipe,defender,parma,inter milan,0
feb 2,dejan lazarevic,attacker,chievo,sassuolo,loan
feb 2,andrea rispoli,defender,parma,palermo,loan
feb 2,zakarya bergdich,defender,valladolid,genoa,loan
feb 2,gabriel paletta,defender,parma,ac milan,undisclosed
feb 2,alessandro matri,attacker,ac milan,juventus,loan
feb 2,federico mattiello,midfielder,juventus,chievo,loan
feb 2,luca antonelli,defender,genoa,ac milan,loan
feb 2,michele somma,defender,roma,empoli,loan
feb 2,eros pisano,defender,palermo,verona,loan
feb 2,aleandro rosi,midfielder,genoa,fiorentina,loan
feb 2,nicola pozzi,attacker,parma,chievo,loan
feb 2,nicolas spolli,defender,catania,roma,loan
feb 2,ezequiel munoz,defender,palermo,sampdoria,loan
feb 2,afriyie acquah,midfielder,parma,sampdoria,loan
feb 2,mohamed salah,midfielder,chelsea,fiorentina,loan
feb 2,armando vajushi,midfielder,litex,chievo,undisclosed
feb 2,davide santon,defender,newcastle,inter milan,loan
feb 1,ioannis fetfatzidis,goalkeeper,genoa,chievo,loan
feb 1,stipe perica,attacker,chelsea,udinese,loan
feb 1,alvaro gonzalez,midfielder,lazio,torino,loan
feb 1,victor ibarbo,attacker,cagliari,roma,loan
feb 1,paul-jose mpoku,midfielder,standard liege,cagliari,loan
feb 1,alassane tambe,defender,kortrijk,genoa,undisclosed
jan 31,lorenzo ariaudo,defender,sassuolo,genoa,loan
jan 31,leandro pavoletti,attacker,sassuolo,genoa,loan
jan 31,francesco acerbi,defender,genoa,sassuolo,undisclosed
jan 31,seydou doumbia,attacker,cska moscow,roma,13500000
jan 31,danilo ortiz,defender,cerro porteno,palermo ,loan
jan 30,urby emanuelson,defender,roma,atalanta,undisclosed
jan 29,mattia destro,attacker,roma,ac milan,loan
jan 28,salvador ichazo,goalkeeper,danubio,torino,loan
jan 28,mapou yanga-mbiwa,defender,newcastle,roma,7400000
jan 28,salvatore bocchetti,defender,spartak moscow,ac milan,loan
jan 28,mato jajalo,midfielder,hnk rijeka,palermo,undisclosed
jan 27,marcelo brozovic,midfielder,dinamo zagreb,inter milan,loan
jan 26,alberto gilardino,attacker,guangzhou,fiorentina,loan
jan 25,samuel eto,attacker,everton,sampdoria,undisclosed
jan 24,joshua brillante,defender,fiorentina,empoli,loan
jan 22,mbaye niang,attacker,ac milan,genoa,loan
jan 22,andrea coda,defender,udinese,sampdoria,undisclosed
jan 21,silvestre varela,midfielder,porto,parma,loan
jan 21,alberto frison,goalkeeper,catania,sampdoria,undisclosed
jan 21,cristian rodriguez,midfielder,atletico madrid,parma,undisclosed
jan 21,mauricio,goalkeeper,sporting lisbon,lazio,loan
jan 18,antonio rosati,goalkeeper,napoli,fiorentina,undisclosed
jan 17,antonio nocerino,midfielder,ac milan,parma,loan
jan 17,suso,midfielder,liverpool,ac milan,undisclosed
jan 17,fernandinho,attacker,gremio,verona,loan
jan 17,riccardo saponara,midfielder,ac milan,empoli,loan
jan 15,ezequiel ponce,attacker,newell\'s,roma,5000000
jan 14,maxi lopez,attacker,chievo,torino,undisclosed
jan 13,josef husbauer,midfielder,sparta prague,cagliari,loan
jan 13,duje cop,attacker,dinamo zagreb,cagliari,loan
jan 13,andi lila,midfielder,pas giannina,parma,loan
jan 12,luis muriel,attacker,udinese,sampdoria,12000000
jan 10,xherdan shaqiri,midfielder,bayern munich,inter milan,15000000
jan 10,zeljko brkic,goalkeeper,udinese,cagliari,loan
jan 9,alejandro gonzalez,defender,verona,cagliari,loan
jan 9,mauricio pinilla,attacker,genoa,atalanta,loan
jan 9,leandro greco,midfielder,genoa,verona,loan
jan 6,lukas podolski,attacker,arsenal,inter milan,loan
jan 6,tino costa,midfielder,spartak moscow,genoa,loan
jan 4,alessio cerci,attacker,atletico madrid,ac milan,loan
jan 1,ivan strinic,defender,dnipro,napoli,0
dec 30,joaquin correa,midfielder,estudiantes,sampdoria,6500000
dec 30,fernando torres ,attacker,chelsea,ac milan,undisclosed
oct 9,hugo almeida,attacker,besiktas,cesena,0
sep 13,mcdonald mariga,midfielder,inter milan,parma,0
sep 3,joao silva,attacker,bari,palermo,undisclosed
sep 2,alejandro gomez,attacker,metalist,atalanta,undisclosed
sep 2,ricardo bagadur,defender,rijeka,fiorentina,undisclosed
sep 2,davide brivio,defender,atalanta,verona,undisclosed
sep 1,saphir taider,midfielder,inter milan,sassuolo,loan
sep 1,vlada avramov,goalkeeper,torino,atalanta,loan
sep 1,luca castellazzi,goalkeeper,inter milan,torino,0
sep 1,andrea consigli,goalkeeper,atalanta,sassuolo,undisclosed
sep 1,marco van ginkel,midfielder,chelsea,ac milan,loan
sep 1,amauri,attacker,parma,torino,undisclosed
sep 1,alessio romagnoli,defender,roma,sampdoria,loan
sep 1,jasmin kurtic,midfielder,sassuolo,fiorentina,loan
sep 1,bruno peres,defender,santos,torino,undisclosed
sep 1,joao pedro,midfielder,estoril,cagliari,undisclosed
sep 1,djamel mesbah,defender,parma,sampdoria,undisclosed
sep 1,facundo roncaglia,defender,fiorentina,genoa,loan
sep 1,paolo de ceglie,defender,juventus,parma,loan
sep 1,micah richards,defender,manchester city,fiorentina,loan
sep 1,luka djordjevic,attacker,zenit,sampdoria,undisclosed
sep 1,giacomo bonaventura,midfielder,atalanta,ac milan,7000000
sep 1,mapou yanga-mbiwa,defender,newcastle,roma,loan
sep 1,bryan cristante,midfielder,ac milan,benfica,6000000
aug 31,jose holebas,defender,olympiakos,roma,1000000
aug 31,nicolas lopez,attacker,udinese,verona,loan
aug 31,fernando torres,attacker,chelsea,ac milan,loan
aug 31,francesco benussi,goalkeeper,udinese,verona,undisclosed
aug 31,milan badelj,midfielder,hamburg,fiorentina,3500000
aug 31,david lopez,midfielder,espanyol,napoli,undisclosed
aug 30,frederik sorensen,defender,juventus,verona,loan
aug 30,matias silvestre,defender,inter milan,sampdoria,loan
aug 30,simon makienok,attacker,brondby,palermo,1800000
aug 30,valerio rosseti,attacker,juventus,atalanta,loan
aug 30,pablo armero,defender,udinese,ac milan,loan
aug 29,carlos carbonero,midfielder,river plate,cesena,loan
aug 29,albano bizzarri,goalkeeper,genoa,chievo,undisclosed
aug 29,lucas evangelista,midfielder,sao paulo,udinese,4000000
