transfer date,player name,position,from,to,price
feb 2,luis neto,defender,siena,zenit,6000000
feb 2,willian,midfielder,shakhtar donetsk,anzhi,35000000
feb 1,magaye gueye,midfielder,everton,brest,loan
feb 1,mohammed abu,midfielder,manchester city,lorient,loan
feb 1,eden ben basat,attacker,brest,toulouse,undisclosed
jan 31,david beckham,midfielder,la galaxy,psg,0
jan 31,emre belezoglu,midfielder,atletico madrid,fenerbahce,0
jan 31,adrien rabiot,midfielder,psg,toulouse,loan
jan 31,reto ziegler,defender,juventus,fenerbahce,loan
jan 31,mathieu bodmer,midfielder,psg,saint etienne,loan
jan 31,isaac cuenca,attacker,barcelona,ajax,loan
jan 31,ryan mason,midfielder,tottenham,lorient,loan
jan 31,alou diarra,midfielder,west ham,rennes,loan
jan 30,ronald zubar,defender,wolverhampton,ajaccio,undisclosed
jan 30,diego rolan,attacker,defensor sporting,bordeaux,undisclosed
jan 29,anton ferdinand,defender,qpr,bursaspor,loan
jan 28,didier drogba,attacker,shanghai shenhua,galatasaray,6000000
jan 27,liedson,attacker,flamengo,porto,loan
jan 27,anders konradsen,midfielder,stromsgodset,rennes,2000000
jan 24,yann mvila,midfielder,rennes,rubin kazan,12000000
jan 24,modou sougou,attacker,cfr cluj,marseille,3000000
jan 23,herita ilunga,defender,doncaster,rennes,0
jan 23,yassine jebbour,defender,rennes,nancy,loan
jan 22,dennis oliech,attacker,auxerre,ajaccio,undisclosed
jan 21,matthieu chalme,defender,bordeaux,ajaccio,loan
jan 21,wesley sneijder,midfielder,inter milan,galatasaray,7500000
jan 17,lindsay rose,defender,laval,valenciennes,1500000
jan 17,luigi bruins,midfielder,excelsior,nice,0
jan 17,vagner love,attacker,flamengo,cska moscow,undisclosed
jan 16,betao,defender,dynamo kiev,evian,loan
jan 14,maor melikson,midfielder,wisla krakow,valenciennes,1000000
jan 12,taison,attacker,metalist kharkiv,shakhtar donetsk,15000000
jan 9,marat izmailov,midfielder,sporting lisbon,porto,undisclosed
jan 9,andreas laudrup,midfielder,nordsjaelland,saint etienne,loan
jan 5,brice samba,goalkeeper,le havre,marseille,undisclosed
jan 4,milos ninkovic,midfielder,dynamo kiev,evian,loan
jan 4,foued kadir,midfielder,valenciennes,marseille,"500,000"
jan 4,john mensah,defender,lyon,rennes,0
jan 2,yohan mollo,midfielder,nancy,saint etienne,loan
dec 30,mickael landreau,goalkeeper,lille,bastia,0
dec 30,lucas moura,attacker,sao paulo,psg,45000000
sep 7,reto ziegler,defender,juventus,lok. moscow,loan
sep 5,arnold mvuemba,midfielder,lorient,lyon,3000000
sep 4,raul meireles,midfielder,chelsea,fenerbahce,10000000
sep 4,cris,defender,lyon,galatasaray,0
sep 4,axel witsel,midfielder,benfica,zenit,40000000
