transfer date,player name,position,from,to,price
feb 1, gregory arnolin , vitria s.c. , sporting gijon ,free,feb 1
 juan pablo colinas , numancia , sporting gijon ,0.5million,feb 1, cristian portilla 
 racing santander , sporting gijon ,free,feb 1, alberto rivera , real betis 
 sporting gijon ,free,feb 1, sergio snchez , espanyol , sevilla 
3million,feb 1, alberto botia , barcelona , sporting gijon ,loan
feb 1, miguel de las cuevas , atletico madrid , sporting gijon ,0.3million,feb 1
 carlos aranda , numancia , osasuna ,1.2million,feb 1, bruno saltor 
 almeria , valencia ,free,feb 1, jrmy mathieu , toulouse 
 valencia ,free,feb 1, ngel dealbert , castelln , valencia 
free,feb 1, javier camuas , recreativo de huelva , osasuna ,1000000
feb 1, javier calleja , malaga , osasuna ,free,feb 1
 didier zokora , tottenham , sevilla ,10million,feb 1, alvaro negredo 
 real madrid , sevilla ,14million,feb 1, papa diop , gimnstic de tarragona 
 racing santander ,1.5million,feb 1, xisco , newcastle , racing santander 
loan,feb 1, fabian vargas , boca juniors , almeria ,0
feb 1, marc torrejn , espanyol , racing santander ,1.5million,feb 1
 luis garcia , atletico madrid , racing santander ,undisclosed,feb 1, manuel arana 
 castelln , racing santander ,free,feb 1, alvaro arbeloa , liverpool 
 real madrid ,4.1million,feb 1, esteban granero , getafe , real madrid 
4million,feb 1, ronaldo , manchester united , real madrid ,93900000
feb 1, xabi alonso , liverpool , real madrid ,35.4million,feb 1
 raul albiol , valencia , real madrid ,15million,feb 1, karim benzema 
 lyon , real madrid ,41million,feb 1, kaka , ac milan 
 real madrid ,68.4million,feb 1, miguel ngel moy , mallorca , valencia 
6million,feb 1, alberto bueno , real madrid , valladolid ,3000000
feb 1, nilmar da silva , sport club internacional , villarreal ,11million,feb 1
 thiago dutra , gremio , villarreal ,1million,feb 1, jefferson montero 
 independiente , villarreal ,free,feb 1, javier oliva , castellon 
 villarreal ,free,feb 1, ivn marcano , racing santander , villarreal 
6million,feb 1, hernn prez , club libertad , villarreal ,2000000
feb 1, abel aguilar , udinese calcio , zaragoza ,loan,feb 1
 jermaine pennant , liverpool , zaragoza ,free,feb 1, marko babic 
 hertha bsc , zaragoza ,free,feb 1, pablo amo , deportivo la coruna 
 zaragoza ,free,feb 1, juan pablo carrizo , lazio , zaragoza 
loan,feb 1, ivan obradovic , fk partizan , zaragoza ,0
feb 1, ikechukwu uche , getafe , zaragoza ,5.5million,feb 1
 david fuster , elche , villarreal ,0.4million,feb 1, bruno renan 
 gremio , villarreal ,1million,feb 1, fabricio agosto , deportivo la coruna 
 valladolid ,free,feb 1, hctor font , osasuna , valladolid 
free,feb 1, diego costa , atletico madrid , valladolid ,0
feb 1, csar arzo , villarreal , valladolid ,free,feb 1
 antonio amaro , salamanca , valladolid ,free,feb 1, antonio barragn 
 deportivo la coruna , valladolid ,free,feb 1, manucho , manchester united 
 valladolid ,undisclosed,feb 1, marcos garca , villarreal , valladolid 
free,feb 1, sisinio gonzlez , recreativo de huelva , valladolid ,0
feb 1, yuri berchiche , tottenham hotspur , valladolid ,free,feb 1
 pel , porto , valladolid ,loan,feb 1, nivaldo 
 umm-salal , valladolid ,free,feb 1, nauzet alemn , las palmas 
 valladolid ,free,feb 1, laszlo sepsi , benfica , racing santander 
loan,feb 1, nasief morris , panathinaikos , racing santander ,loan
feb 1, brayan angulo , leixes s.c. , deportivo la coruna ,loan,feb 1
 juliano r. antonello , partizan belgrade , deportivo la coruna ,undisclosed,feb 1, serge ngal 
 gimnstic de tarragona , cd tenerife ,0.2million,feb 1, romn martnez , espanyol 
 cd tenerife ,loan,feb 1, carlos bellvis , valencia , cd tenerife 
free,feb 1, ezequiel luna , tiro federal , cd tenerife ,0
feb 1, roberto juca , fk partizan , deportivo la coruna ,free,feb 1
 david prieto , sevilla , deportivo xerez ,loan,feb 1, vctor snchez 
 fc barcelona atletic , deportivo xerez ,loan,feb 1, ben sahar , chelsea 
 espanyol ,undisclosed,feb 1, renan brito , valencia , deportivo xerez 
loan,feb 1, jos ngel crespo , sevilla , racing santander ,loan
feb 1, emiliano armenteros , sevilla atletico , deportivo xerez ,free,feb 1
 aitor nez , atletico madrid , cd tenerife ,free,feb 1, zlatan ibrahimovic 
 inter milan , barcelona ,*45million,feb 1, scar de marcos , deportivo alavs 
 athletic bilbao ,free,feb 1, xabier castillo , real sociedad , athletic bilbao 
1million,feb 1, mikel san jos , liverpool , athletic bilbao ,loan
feb 1, iigo daz de cerio , real sociedad , athletic bilbao ,free,feb 1
 henok goitom , real murcia , almeria ,2.2million,feb 1, hernan bernardello 
 newells old boys , almeria ,3million,feb 1, juanito , real betis 
 atletico madrid ,free,feb 1, leandro cabrera , defensor sporting , atletico madrid 
1.5million,feb 1, keirrison , palmeiras , barcelona ,14000000
feb 1, maxwell , inter milan , barcelona ,4.5million,feb 1
 dymytro chygrynsky , shakhtar donestsk , barcelona ,25million,feb 1, sergio asenjo 
 real valladolid , atletico madrid ,5million,feb 1, roberto jimnez , recreativo de huelva 
 atletico madrid ,1.5million,feb 1, facundo roncaglia , boca juniors , espanyol 
loan,feb 1, leandro gioda , ca independiente , deportivo xerez ,loan
feb 1, selim ben achour , al qadsia kuwait , malaga ,free,feb 1
 xavi torres , barcelona , malaga ,undisclosed,feb 1, ivan pillud 
 tiro federal , espanyol ,loan,feb 1, omar hernndez , sporting gijon 
 malaga ,free,feb 1, juanito gutirrez , almeria , malaga 
free,feb 1, milan stepanov , porto , malaga ,loan
feb 1, valdo , espanyol , malaga ,loan,feb 1
 bruno china , leixes s.c. , mallorca ,free,feb 1, alex geijo 
 levante , racing santander ,1.8million,feb 1, henrique , barcelona 
 racing santander ,loan,feb 1, sergio tejera , chelsea , mallorca 
loan,feb 1, rubn gonzlez , celta de vigo , mallorca ,0
feb 1, paulo pezzolano , liverpool de montevideo , mallorca ,loan,feb 1
 jordi pablo , villarreal , malaga ,free,feb 1, patrick mtiliga 
 nac breda , malaga ,undisclosed,feb 1, daniel parejo , real madrid 
 getafe ,3million,feb 1, derek boateng , kln , getafe 
0.7million,feb 1, wellington baroni , aa iguau , espanyol ,0
feb 1, shunsuke nakamura , celtic , espanyol ,free,feb 1
 joan verd , deportivo la coruna , espanyol ,free,feb 1, gustavo munua 
 deportivo la coruna , malaga ,free,feb 1, jordi codina , real madrid 
 getafe ,free,feb 1, pablo camacho , caracas fc , espanyol 
loan,feb 1, edinho , athens , malaga ,900000
feb 1, fernando forestieri , genoa c.f.c. , malaga ,loan,feb 1
 albert luque , ajax , malaga ,free,feb 1, pedro ros 
 deportivo xerez , getafe ,free,feb 1, pedro len , real valladolid 
 getafe ,4million,feb 1, man ortiz , almeria , getafe 
2.5million,feb 1,asier del horno,defender,valencia,real valladolid
loan,jan 14,jiri jarosik,midfielder,krylya s. samara,real zaragoza
