transfer date,player name,position,from,to,price
feb 28,antonio doblas,goalkeeper,khazar lankaran,napoli,0
feb 8,marko vesovic,defender,red star,torino,0
feb 1,michael rabusic,attacker,slovan liberec,hellas verona,undisclosed
feb 1,alessandro bastrini,defender,novara,cagliari,loan
feb 1,francesco fedato,attacker,bari,sampdoria,undisclosed
feb 1,ibson,midfielder,corinthians,bologna,undisclosed
feb 1,francesco fedato,attacker,sampdoria,catania,loan
jan 31,pablo osvaldo,attacker,southampton,juventus,loan
jan 31,victor obinna,attacker,lokomotiv moscow,chievo,loan
jan 31,marquinho,midfielder,roma,hellas verona,loan
jan 31,stefano okaka,attacker,parma,sampdoria,undisclosed
jan 31,tiberio guarente,midfielder,catania,chievo,loan
jan 31,petar golubovic,defender,ofk beograd,roma,undisclosed
jan 31,ruben bentancourt,attacker,psv eindhoven,atalanta,undisclosed
jan 31,faouzi ghoulam,defender,saint etienne,napoli,5000000
jan 31,rafael toloi,defender,sao paulo,roma,loan
jan 31,nicola pozzi,attacker,sampdoria,parma,undisclosed
jan 31,modibo diakite,defender,sunderland,fiorentina,loan
jan 31,alessio sestu,defender,chievo,sampdoria,loan
jan 31,giuseppe sculli,attacker,lazio,genoa,loan
jan 31,gael kakuta,midfielder,chelsea,lazio,loan
jan 31,ishak belfodil,attacker,inter milan,livorno,loan
jan 31,stefano beltrame,attacker,juventus,sampdoria,loan
jan 31,hernanes,midfielder,lazio,inter milan,20000000
jan 31,alexis zapata,midfielder,granada,sassuolo,loan
jan 31,paolo cannavaro,defender,napoli,sassuolo,loan
jan 31,ciro polito,goalkeeper,atalanta,sassuolo,undisclosed
jan 30,marcelo estigarribia,midfielder,chievo,atalanta,loan
jan 30,cristian molinaro,defender,stuttgart,parma,undisclosed
jan 30,matteo colombi,attacker,inter milan,torino,loan
jan 30,sergio floccari,attacker,lazio,sassuolo,1500000
jan 30,danilo d\'ambrosio,defender,torino,inter milan,undisclosed
jan 30,helder postiga,attacker,valencia,lazio,loan
jan 30,adel taarabt,midfielder,qpr,ac milan,loan
jan 30,matteo brighi,midfielder,torino,sassuolo,undisclosed
jan 30,erik gunnar friberg,midfielder,malmo,bologna,undisclosed
jan 30,michael agazzi,goalkeeper,cagliari,chievo,undisclosed
jan 30,marco silvestri,goalkeeper,chievo,cagliari,loan
jan 30,henrique,defender,palmeiras,napoli,4000000
jan 30,jasmin kurtic,midfielder,sassuolo,torino,loan
jan 29,hassan yebda,midfielder,granada,udinese,loan
jan 29,mariano andujar,goalkeeper,catania,napoli,co-ownership
jan 29,mariano andujar,goalkeeper,napoli,catania,loan
jan 29,antonio sanabria,attacker,barcelona,sassuolo,4500000
jan 29,matias vecino,midfielder,fiorentina,cagliari,loan
jan 29,djamel mesbah,defender,parma,livorno,loan
jan 28,michele canini,defender,atalanta,chievo,loan
jan 28,andrea tabanelli,midfielder,cesena,cagliari,loan
jan 28,maxi lopez,attacker,catania,sampdoria,loan
jan 27,michael essien,midfielder,chelsea,ac milan,undisclosed
jan 25,matteo rubin,defender,siena,chievo,loan
jan 23,jherson vergara,defender,ac milan,parma,loan
jan 23,adryan,midfielder,flamengo,cagliari,loan
jan 23,davide biondini,midfielder,genoa,sassuolo,loan
jan 23,paolo castellini,defender,sampdoria,livorno,undisclosed
jan 23,nicolas burdisso,defender,roma,genoa,co-ownership
jan 23,marco motta,defender,juventus,genoa,loan
jan 21,pedro mendes,defender,parma,sassuolo,co-ownership
jan 21,michel bastos,midfielder,al ain,roma,loan
jan 21,alejandro rosi,defender,parma,sassuolo,loan
jan 21,nicola sansone,attacker,parma,sassuolo,co-ownership
jan 21,ezequiel schelotto,midfielder,inter milan,parma,loan
jan 21,jonathan rossini,defender,sassuolo,parma,loan
jan 18,anderson,midfielder,manchester utd,fiorentina,loan
jan 18,paolo de ceglie,defender,juventus,genoa,loan
jan 18,jorginho,midfielder,hellas verona,napoli,co-ownership
jan 17,antonio rosati,goalkeeper,sassuolo,fiorentina,loan
jan 16,alessandro matri,attacker,ac milan,fiorentina,loan
jan 16,thomas manfredini,defender,genoa,sassuolo,undisclosed
