transfer date,player name,position,from,to,price
feb 5,leandro damiao,attacker,santos,real betis,0
feb 3,kike,attacker,middlesbrough,eibar,undisclosed
feb 2,ikechukwu uche,attacker,tigres,malaga,loan
feb 2,alvaro pereira,defender,estudiantes,getafe,loan
feb 2,isaac cuenca,midfielder,bursaspor,granada,0
feb 1,abdoulaye doucoure,midfielder,watford,granada,loan
feb 1,federico fazio,defender,tottenham,sevilla,loan
feb 1,josip radosevic,midfielder,napoli,eibar,loan
feb 1,adalberto penaranda,attacker,watford,granada,loan
feb 1,dennis cheryshev,midfielder,real madrid,valencia,loan
feb 1,ricardo costa,defender,paok,granada,0
feb 1,joan verdu,midfielder,fiorentina,levante,0
feb 1,jon ansotegi,defender,real sociedad,eibar,0
jan 31,piti,midfielder,granada,rayo vallecano,0
jan 31,guilherme siqueira,defender,atletico madrid,valencia,loan
jan 31,lucas orban,defender,valencia,levante,loan
jan 30,carl medjani,midfielder,trabzonspor,levante,0
jan 29,charly musonda,midfielder,chelsea,real betis,loan
jan 29,manuel iturra,midfielder,udinese,rayo vallecano,loan
jan 28,giedrius arlauskis,goalkeeper,watford,espanyol,loan
jan 28,mauricio lemos,defender,defensor sporting,las palmas,loan
jan 27,ognjen vranjes,defender,gaziantepspor,sporting gijon,0
jan 26,andrei ivan,attacker,craiova,espanyol,loan
jan 26,angel montoro,midfielder,almeria,las palmas,0
jan 26,oscar duarte,defender,club brugge,espanyol,1500000
jan 26,miguel cifuentes,defender,elche,malaga,loan
jan 25,christian atsu,midfielder,chelsea,malaga,loan
jan 24,david barral,attacker,al-dhafra scc,granada,0
jan 23,aras ozbiliz,midfielder,besiktas,rayo vallecano,loan
jan 22,giuseppe rossi,attacker,fiorentina,levante,loan
jan 22,igor lichnovsky,defender,porto,sporting gijon,loan
jan 20,jose angel crespo,defender,aston villa,rayo vallecano,loan
jan 17,claudio beauvue,attacker,lyon,celta,5000000
jan 16,jota,midfielder,brentford,eibar,loan
jan 15,marcelo diaz,midfielder,hamburger,celta,undisclosed
jan 11,adrian colunga,attacker,granada,malaga,0
jan 6,yoel rodriguez,goalkeeper,valencia,rayo vallecano,loan
jan 6,samir,defender,udinese,granada,loan
jan 6,mauricio cuero,attacker,la equidad,levante,3200000
jan 6,chory castro,midfielder,real sociedad,malaga,0
jan 6,stipe pletikosa,goalkeeper,rostov,dep. la coruna,0
jan 1,augusto fernandez,midfielder,celta,atletico madrid,6500000
sep 6,alvaro negredo,attacker,manchester city,valencia,30000000
sep 1,ricky van wolfswinkel,attacker,norwich,real betis,loan
aug 31,neuton,defender,udinese,granada,loan
aug 31,pape diop,midfielder,levante,espanyol,undisclosed
aug 31,ilie sanchez,midfielder,1860 munich,elche,undisclosed
aug 31,javi guerra,attacker,cardiff,rayo vallecano,undisclosed
aug 31,izet hajrovic,midfielder,werder bremen,eibar,loan
aug 31,raul garcia,midfielder,atletico madrid,athletic bilbao,undisclosed
aug 31,adrian lopez,attacker,porto,villarreal,loan
aug 31,marco andreolli,defender,inter milan,sevilla,loan
aug 31,stefan scepovic,attacker,celtic,getafe,loan
aug 31,hachim mastour,attacker,ac milan,malaga,loan
aug 31,joaquin sanchez,midfielder,fiorentina,real betis,2000000
aug 31,wakaso mubarak,midfielder,rubin kazan,las palmas,loan
aug 31,doria,defender,marseille,granada,loan
aug 31,pablo hernandez,midfielder,al arabi,rayo vallecano,loan
aug 30,aymen abdennour,defender,monaco,valencia,30000000
